SetID,SweepID,gamma_M,psi_M,end_time,A1,M1,A2,M2,log_gamma_M,Anc,Mut,Anc_freq,Mut_freq,Mut_freq0,Mut_freq_change,Mut_freq_inv
pLFC_S.pB10-A,1,1.6100000000000007e-18,0.223,216,0,0,1000000673.8391289,2.7801526219964544e-16,-17.79317412396815,1000000673.8391289,2.7801526219964544e-16,1,2.780150748622096e-25,0.009900990099009901,-0.009900990099009901,Decrease
pLFC_S.pB10-A,2,2.5819871774396382e-18,0.223,216,0,0,1000000673.8391289,4.458582872076099e-16,-17.588045918839946,1000000673.8391289,4.458582872076099e-16,1,4.458579867710525e-25,0.009900990099009901,-0.009900990099009901,Decrease
pLFC_S.pB10-A,3,4.1407812325855325e-18,0.223,216,0,0,1000000673.8391289,7.150312926866139e-16,-17.38291771371174,1000000673.8391289,7.150312926866139e-16,1,7.150308108708752e-25,0.009900990099009901,-0.009900990099009901,Decrease
pLFC_S.pB10-A,4,6.6406484764712006e-18,0.223,216,0,0,1000000673.8391289,1.1467090875688212e-15,-17.177789508583533,1000000673.8391289,1.1467090875688212e-15,1,1.1467083148718892e-24,0.009900990099009901,-0.009900990099009901,Decrease
pLFC_S.pB10-A,5,1.0649732432380563e-17,0.223,216,0,0,1000000673.8391289,1.8389988602408967e-15,-16.97266130345533,1000000673.8391289,1.8389988602408967e-15,1,1.8389976210523417e-24,0.009900990099009901,-0.009900990099009901,Decrease
pLFC_S.pB10-A,6,1.7079175517745127e-17,0.223,216,0,0,1000000673.8391289,2.9492369493045204e-15,-16.767533098327124,1000000673.8391289,2.9492369493045204e-15,1,2.949234961994603e-24,0.009900990099009901,-0.009900990099009901,Decrease
pLFC_S.pB10-A,7,2.7390193905626642e-17,0.223,216,0,0,1000000673.8391289,4.729746594392899e-15,-16.56240489319892,1000000673.8391289,4.729746594392899e-15,1,4.7297434073067215e-24,0.009900990099009901,-0.009900990099009901,Decrease
pLFC_S.pB10-A,8,4.392616736143683e-17,0.223,216,0,0,1000000673.8391289,7.585183315563506e-15,-16.357276688070716,1000000673.8391289,7.585183315563506e-15,1,7.585178204373632e-24,0.009900990099009901,-0.009900990099009901,Decrease
pLFC_S.pB10-A,9,7.044521793869464e-17,0.223,216,0,0,1000000673.8391289,1.2164500783832743e-14,-16.152148482942508,1000000673.8391289,1.2164500783832743e-14,1,1.2164492586921655e-23,0.009900990099009901,-0.009900990099009901,Decrease
pLFC_S.pB10-A,10,1.1297431641593184e-16,0.223,216,0,0,1000000673.8391289,1.9508438239146302e-14,-15.947020277814303,1000000673.8391289,1.9508438239146302e-14,1,1.9508425093606132e-23,0.009900990099009901,-0.009900990099009901,Decrease
pLFC_S.pB10-A,11,1.811790287987232e-16,0.223,216,0,0,1000000673.8391289,3.128604889805555e-14,-15.741892072686099,1000000673.8391289,3.128604889805555e-14,1,3.1286027816305825e-23,0.009900990099009901,-0.009900990099009901,Decrease
pLFC_S.pB10-A,12,2.90560204459174e-16,0.223,216,0,0,1000000673.8391289,5.01740251771623e-14,-15.536763867557895,1000000673.8391289,5.01740251771623e-14,1,5.017399136796366e-23,0.009900990099009901,-0.009900990099009901,Decrease
pLFC_S.pB10-A,13,4.659768460793973e-16,0.223,216,0,0,1000000673.8391289,8.046503013364121e-14,-15.331635662429688,1000000673.8391289,8.046503013364121e-14,1,8.046497591319194e-23,0.009900990099009901,-0.009900990099009901,Decrease
pLFC_S.pB10-A,14,7.472958022116568e-16,0.223,216,0,0,1000000673.8391289,1.2904329120684442e-13,-15.126507457301484,1000000673.8391289,1.2904329120684442e-13,1,1.2904320425248407e-22,0.009900990099009901,-0.009900990099009901,Decrease
pLFC_S.pB10-A,15,1.198452285133524e-15,0.223,216,0,0,1000000673.8391289,2.0694918129496833e-13,-14.921379252173278,1000000673.8391289,2.0694918129496833e-13,1,2.0694904184460625e-22,0.009900990099009901,-0.009900990099009901,Decrease
pLFC_S.pB10-A,16,1.9219803931602427e-15,0.223,216,0,0,1000000673.8391289,3.318883747446361e-13,-14.716251047045073,1000000673.8391289,3.318883747446361e-13,1,3.3188815110541347e-22,0.009900990099009901,-0.009900990099009901,Decrease
pLFC_S.pB10-A,17,3.082315981633628e-15,0.223,216,0,0,1000000673.8391289,5.322558483941945e-13,-14.511122841916869,1000000673.8391289,5.322558483941945e-13,1,5.322554897396189e-22,0.009900990099009901,-0.009900990099009901,Decrease
pLFC_S.pB10-A,18,4.943167913910141e-15,0.223,216,0,0,1000000673.8391289,8.535893003291744e-13,-14.305994636788663,1000000673.8391289,8.535893003291744e-13,1,8.535887251476914e-22,0.009900990099009901,-0.009900990099009901,Decrease
pLFC_S.pB10-A,19,7.927451037047843e-15,0.223,216,0,0,1000000673.8391289,1.3689187544471545e-12,-14.100866431660458,1000000673.8391289,1.3689187544471545e-12,1,1.368917832016755e-21,0.009900990099009901,-0.009900990099009901,Decrease
pLFC_S.pB10-A,20,1.2713401818284578e-14,0.223,216,0,0,1000000673.8391289,2.195364764930853e-12,-13.895738226532252,1000000673.8391289,2.195364764930853e-12,1,2.1953632856091693e-21,0.009900990099009901,-0.009900990099009901,Decrease
pLFC_S.pB10-A,21,2.0388720792825192e-14,0.223,216,0,0,1000000673.8391289,3.5207581671317948e-12,-13.690610021404048,1000000673.8391289,3.5207581671317948e-12,1,3.5207557947087775e-21,0.009900990099009901,-0.009900990099009901,Decrease
pLFC_S.pB10-A,22,3.2697773696566185e-14,0.223,216,0,0,1000000673.8391289,5.6463329838648065e-12,-13.485481816275843,1000000673.8391289,5.6463329838648065e-12,1,5.6463291791472716e-21,0.009900990099009901,-0.009900990099009901,Decrease
