Strain,max_gr_mean,max_gr_sd,n,max_gr_se
Anc,0.4762348043112843,0.03228095338433731,3,0.01863741712614491
F,0.6067661478458853,0.025756130701476147,3,0.014870308993780439
Mut,0.6232877681913959,0.0439957700332282,3,0.025400969671889175
