Cycle,Phase,T_start,T_end
1,Growth,0,168
1,Conjugation,168,192
1,Transconjugant selection,192,223.049999999972
2,Growth,223.049999999972,391.049999999972
2,Conjugation,391.049999999972,415.049999999972
2,Transconjugant selection,415.049999999972,446.759999999943
3,Growth,446.759999999943,614.759999999943
3,Conjugation,614.759999999943,638.759999999943
3,Transconjugant selection,638.759999999943,670.469999999914
