"","Time","Cycle","Phase","Cell_types","Density","Host","Genotype"
"104",0.14,1,"conj","F2",10767659.4421515,"2","F"
"105",0.14,1,"conj","C",998240456.250399,"C","C"
"106",0.15,1,"conj","A1",107450.135170591,"1","A"
"107",0.15,1,"conj","M1",11058903.8332519,"1","M"
"108",0.15,1,"conj","F1",0,"1","F"
"109",0.15,1,"conj","A2",0,"2","A"
"110",0.15,1,"conj","M2",0,"2","M"
"111",0.15,1,"conj","F2",10824695.0133566,"2","F"
"112",0.15,1,"conj","C",998108950.363074,"C","C"
"113",0.16,1,"conj","A1",107966.098913126,"1","A"
"114",0.16,1,"conj","M1",11133358.4227819,"1","M"
"115",0.16,1,"conj","F1",0,"1","F"
"116",0.16,1,"conj","A2",0,"2","A"
"117",0.16,1,"conj","M2",0,"2","M"
"118",0.16,1,"conj","F2",10882032.6229805,"2","F"
"119",0.16,1,"conj","C",997976642.150694,"C","C"
"120",0.17,1,"conj","A1",108484.539575058,"1","A"
"121",0.17,1,"conj","M1",11208314.1827589,"1","M"
"122",0.17,1,"conj","F1",0,"1","F"
"123",0.17,1,"conj","A2",0,"2","A"
"124",0.17,1,"conj","M2",0,"2","M"
"125",0.17,1,"conj","F2",10939673.8696231,"2","F"
"126",0.17,1,"conj","C",997843526.653148,"C","C"
"127",0.18,1,"conj","A1",109005.469039371,"1","A"
"128",0.18,1,"conj","M1",11283774.4853774,"1","M"
"129",0.18,1,"conj","F1",0,"1","F"
"130",0.18,1,"conj","A2",0,"2","A"
"131",0.18,1,"conj","M2",0,"2","M"
"132",0.18,1,"conj","F2",10997620.3603348,"2","F"
"133",0.18,1,"conj","C",997709598.8793,"C","C"
"134",0.19,1,"conj","A1",109528.899245973,"1","A"
"135",0.19,1,"conj","M1",11359742.7255049,"1","M"
"136",0.19,1,"conj","F1",0,"1","F"
"137",0.19,1,"conj","A2",0,"2","A"
"138",0.19,1,"conj","M2",0,"2","M"
"139",0.19,1,"conj","F2",11055873.710661,"2","F"
"140",0.19,1,"conj","C",997574853.806786,"C","C"
"141",0.2,1,"conj","A1",110054.842191963,"1","A"
"142",0.2,1,"conj","M1",11436222.3208341,"1","M"
"143",0.2,1,"conj","F1",0,"1","F"
"144",0.2,1,"conj","A2",0,"2","A"
"145",0.2,1,"conj","M2",0,"2","M"
"146",0.2,1,"conj","F2",11114435.544687,"2","F"
"147",0.2,1,"conj","C",997439286.381822,"C","C"
"148",0.21,1,"conj","A1",110583.309931907,"1","A"
"149",0.21,1,"conj","M1",11513216.7120362,"1","M"
"150",0.21,1,"conj","F1",0,"1","F"
"151",0.21,1,"conj","A2",0,"2","A"
"152",0.21,1,"conj","M2",0,"2","M"
"153",0.21,1,"conj","F2",11173307.4950826,"2","F"
"154",0.21,1,"conj","C",997302891.519,"C","C"
"155",0.22,1,"conj","A1",111114.314578112,"1","A"
"156",0.22,1,"conj","M1",11590729.3629151,"1","M"
"157",0.22,1,"conj","F1",0,"1","F"
"158",0.22,1,"conj","A2",0,"2","A"
