SetID,SweepID,gamma_fold,psi_change,gamma_M,psi_M,end_time,A1,M1,A2,M2,Anc,Mut,Anc_freq,Mut_freq,Mut_freq0,Mut_freq_change,Invasion
DimF,1,-2,-0.2,2e-13,0.8,240,514351997.67389995,608.592110792767,119130896.28011282,0.13018922882080494,633482893.9540128,608.7223000215878,0.9999990390873678,9.6091263221518e-7,0.009900990099009901,Decrease,Partial
DimF,2,-1.6,-0.2,5.023772863019159e-13,0.8,240,514352002.5869013,608.5921154484095,119130889.48413882,0.32707331344982815,633482892.0710402,608.9191887618592,0.999999038776562,9.612234380374991e-7,0.009900990099009901,Decrease,Partial
DimF,3,-1.2,-0.2,1.2619146889603865e-12,0.8,240,514352011.22088534,608.592123630561,119130871.48979469,8.068185396509016,633482882.71068,616.66030902707,0.9999990265566353,9.734433645696792e-7,0.009900990099009901,Decrease,Partial
DimF,4,-0.7999999999999998,-0.2,3.1697863849222284e-12,0.8,240,514352037.3941477,608.5921484334419,119130827.22848788,20.46986685551636,633482864.6226356,629.0620152889583,0.9999990069796268,9.930203731592513e-7,0.009900990099009901,Decrease,Partial
DimF,5,-0.3999999999999999,-0.2,7.962143411069945e-12,0.8,240,514352102.8239215,608.5922104377318,119130715.00658356,52.73241148467674,633482817.830505,661.3246219224085,0.9999989560507201,1.0439492799471474e-6,0.009900990099009901,Decrease,Partial
DimF,6,0,-0.2,2e-11,0.8,240,514352264.8925352,608.592364023294,119130426.33785352,141.25791097254944,633482691.2303888,749.8502749958434,0.9999988163064314,1.183693568559059e-6,0.009900990099009901,Decrease,Partial
DimF,7,0.4000000000000003,-0.2,5.0237728630191646e-11,0.8,240,514352652.1523544,608.5927310262839,119129654.96628526,419.45628839771297,633482307.1186397,1028.049019423997,0.99999837714907025,1.6228509296963764e-6,0.009900990099009901,Decrease,Partial
DimF,8,0.8000000000000003,-0.2,1.2619146889603872e-10,0.8,240,514353378.1669675,608.5934191869375,119127356.02594171,1662.2299944350932,633480734.1929092,2270.823413622031,0.9999964153364879,3.5846635121071937e-6,0.009900990099009901,Decrease,Partial
DimF,9,1.2000000000000002,-0.2,3.169786384922228e-10,0.8,240,514348835.7798753,608.5891166944415,119117171.38997078,15998.804979797573,633466007.169846,16607.394096492015,0.9999737839781003,2.6216021899707075e-5,0.009900990099009901,Decrease,Partial
DimF,10,1.6,-0.2,7.962143411069944e-10,0.8,240,513156182.6347252,607.458853468756,118715644.86241738,2425040.663551903,631871827.4971426,2425648.1224053716,0.996175850897032,0.0038241491029680163,0.009900990099009901,Decrease,Partial
DimF,11,2,-0.2,1.999999999999999e-9,0.8,240,90214286.96161687,150.99269415987283,15256324.894131662,921235562.920691,105470611.85574853,921235713.9133852,0.10272714719736203,0.8972728528026379,0.009900990099009901,Increase,Partial
DimF,12,-2,-0.16,2e-13,0.84,240,514347795.81880826,3718.086915995347,119130662.43048143,7.765964818007593,633478458.2492898,3725.8528808133547,0.9999941184567233,5.881543276696846e-6,0.009900990099009901,Decrease,Partial
DimF,13,-1.6,-0.16,5.023772863019159e-13,0.84,240,514347792.0533569,3718.086893119403,119130651.3576575,19.538023880970115,633478443.4110144,3737.6249170003734,0.9999940998736366,5.900126363283411e-6,0.009900990099009901,Decrease,Partial
DimF,14,-1.2,-0.16,1.2619146889603865e-12,0.84,240,514347782.48043793,3718.086834961764,119130623.4780812,49.272365165596554,633478405.9585191,3767.3592001273605,0.9999940529357276,5.94706427237987e-6,0.009900990099009901,Decrease,Partial
DimF,15,-0.7999999999999998,-0.16,3.1697863849222284e-12,0.84,240,514347757.7040357,3718.086684438681,119130553.0290901,125.00886860323844,633478310.7331258,3843.0955530419196,0.9999939333799227,6.066620077321483e-6,0.009900990099009901,Decrease,Partial
DimF,16,-0.3999999999999999,-0.16,7.962143411069945e-12,0.84,240,514347690.73677766,3718.086277589796,119130373.38181236,322.03199807612924,633478064.11859,4040.118275665925,0.9999936223639964,6.3776360036767226e-6,0.009900990099009901,Decrease,Partial
DimF,17,0,-0.16,2e-11,0.84,240,514347490.6090118,3718.0850617110536,119129904.4149658,862.6263587371833,633477395.0239776,4580.711420448237,0.9999927689948636,7.231005136540104e-6,0.009900990099009901,Decrease,Partial
DimF,18,0.4000000000000003,-0.16,5.0237728630191646e-11,0.84,240,514346749.67350864,3718.080559923261,119128601.34327649,2561.329977451131,633475351.0167851,6279.410537374391,0.9999900874623102,9.912537689748858e-6,0.009900990099009901,Decrease,Partial
DimF,19,0.8000000000000003,-0.16,1.2619146889603872e-10,0.84,240,514342582.25262386,3718.0552377578183,119124261.15124002,10147.89316420257,633466843.4038639,13865.948401960388,0.9999781114906938,2.1888509306208113e-5,0.009900990099009901,Decrease,Partial
DimF,20,1.2000000000000002,-0.16,3.169786384922228e-10,0.84,240,514287260.4032904,3717.719066600914,119097068.1503669,97589.0716729017,633384328.5536573,101306.79073950261,0.9998400803663299,1.5991963367003074e-4,0.009900990099009901,Decrease,Partial
DimF,21,1.6,-0.16,7.962143411069944e-10,0.84,240,507077709.106495,3673.858272519589,117055886.73716764,14385445.767946972,624133595.8436626,14389119.62621949,0.9774649839737797,0.022535016026220288,0.009900990099009901,Increase,Partial
DimF,22,2,-0.16,1.999999999999999e-9,0.84,240,39621873.8354247,430.9313771183803,6252536.986848741,990491086.6854374,45874410.82227344,990491517.6168146,0.04426468447430215,0.9557353155256978,0.009900990099009901,Increase,Partial
DimF,23,-2,-0.12,2e-13,0.88,240,514327834.0399123,22698.43059297595,119126834.9595802,47.39224068434052,633454668.9994925,22745.82283366029,0.9999640937114703,3.59062885297022e-5,0.009900990099009901,Decrease,Partial
DimF,24,-1.6,-0.12,5.023772863019159e-13,0.88,240,514327779.6588272,22698.42847984318,119126808.0313696,119.23181335930276,633454587.6901968,22817.660293202483,0.9999639803091626,3.601969083739923e-5,0.009900990099009901,Decrease,Partial
DimF,25,-1.2,-0.12,1.2619146889603865e-12,0.88,240,514327642.2986044,22698.42314231795,119126740.13830958,300.686645551489,633454382.436914,22999.10978786944,0.9999636938737549,3.630612624513079e-5,0.009900990099009901,Decrease,Partial
DimF,26,-0.7999999999999998,-0.12,3.1697863849222284e-12,0.88,240,514327292.41645354,22698.409546640916,119126567.9922388,762.8683140012656,633453860.4086924,23461.27786064218,0.9999629642971304,3.703570286964576e-5,0.009900990099009901,Decrease,Partial
DimF,27,-0.3999999999999999,-0.12,7.962143411069945e-12,0.88,240,514326382.2058924,22698.374177775466,119126125.22657464,1965.1817794559272,633452507.432467,24663.555957231394,0.99996106638552,3.893361448013741e-5,0.009900990099009901,Decrease,Partial
DimF,28,0,-0.12,2e-11,0.88,240,514323885.5805691,22698.27716405463,119124944.09609696,5263.96774245032,633448829.676666,27962.24490650495,0.9999558590855053,4.4140914494570484e-5,0.009900990099009901,Decrease,Partial
DimF,29,0.4000000000000003,-0.12,5.0237728630191646e-11,0.88,240,514316064.07571626,22697.97323550831,119121477.77396262,15628.572540906744,633437541.8496789,38326.545776415056,0.9999394980177012,6.050198229885725e-5,0.009900990099009901,Decrease,Partial
DimF,30,0.8000000000000003,-0.12,1.2619146889603872e-10,0.88,240,514281787.6408249,22696.641307291426,119108242.31178112,61902.765671741894,633390029.9526061,84599.40697903332,0.9998664517834525,1.33548216547456e-4,0.009900990099009901,Decrease,Partial
DimF,31,1.2000000000000002,-0.12,3.169786384922228e-10,0.88,240,513921595.41588897,22682.644063352374,118996348.51318774,594380.8466967059,632917943.9290767,617063.4907600583,0.9990259993788296,9.740006211703105e-4,0.009900990099009901,Decrease,Partial
DimF,32,1.6,-0.12,7.962143411069944e-10,0.88,240,474789130.2911133,21154.74292801117,108661723.79681005,77446851.47267696,583450854.0879234,77468006.21560498,0.8827874178382084,0.11721258216179158,0.009900990099009901,Increase,Partial
DimF,33,2,-0.12,1.999999999999999e-9,0.88,240,15570499.965379534,1043.6563003880449,2304643.815547117,1021815319.6938534,17875143.780926652,1021816363.3501538,0.017192738094255703,0.9828072619057443,0.009900990099009901,Increase,Partial
DimF,34,-2,-0.08000000000000002,2e-13,0.92,240,514220540.85035706,138451.6743686432,119102131.902652,288.963564026532,633322672.7530091,138740.63793266972,0.9997809801275978,2.1901987240230796e-4,0.009900990099009901,Decrease,Partial
DimF,35,-1.6,-0.08000000000000002,5.023772863019159e-13,0.92,240,514220189.08639747,138451.58720136742,119102026.00799423,726.9883694945895,633322215.0943917,139178.575570862,0.9997802887800873,2.1971121991275596e-4,0.009900990099009901,Decrease,Partial
DimF,36,-1.2,-0.08000000000000002,1.2619146889603865e-12,0.92,240,514219300.9401032,138451.36711827628,119101758.76616144,1833.3615576215589,633321059.7062646,140284.72867589784,0.999778542558424,2.2145744157606726e-4,0.009900990099009901,Decrease,Partial
DimF,37,-0.7999999999999998,-0.08000000000000002,3.1697863849222284e-12,0.92,240,514217041.0007375,138450.80710403837,119101079.54739596,4651.3623804768995,633318120.5481335,143102.16948451527,0.9997740948232465,2.259051767535056e-4,0.009900990099009901,Decrease,Partial
DimF,38,-0.3999999999999999,-0.08000000000000002,7.962143411069945e-12,0.92,240,514211176.75699747,138449.3539402007,119099322.16736452,11981.870702822756,633310498.924362,150431.22464302345,0.9997625248575195,2.3747514248059228e-4,0.009900990099009901,Decrease,Partial
