"","Time","A1","M1","F1","A2","M2","F2","C","Cycle","Phase","Type"
"1",0,1e+06,1,0,0,0,0,1e+09,0,"growout","start"
"1609",8.03999999999987,10025584.9855553,22.1643767775541,0,0,0,0,990974393.850068,0,"growout","end"
"19",8.03999999999987,10025584.9855553,22.1643767775541,0,0,0,0,1e+09,1,"growth","start"
"2401",32.0399999999999,1010014684.66359,10922.4863452893,0,0,0,0,1.79217300786704e-110,1,"growth","end"
"11",32.0399999999999,1010014.68466359,10.9224863452893,0,0,0,0,1e+09,1,"growth","start"
"24011",56.0399999999999,954498818.467552,109098.548866207,0,0,0,0,46402108.5907307,1,"growth","end"
"12",56.0399999999999,954498.818467552,109.098548866207,0,0,0,0,1e+09,1,"growth","start"
"24012",80.0399999999999,908020755.949765,1099451.59261849,0,0,0,0,91834400.3746341,1,"growth","end"
"13",80.0399999999999,908020.755949765,1099.45159261849,0,0,0,0,1e+09,1,"growth","start"
"24013",104.04,866355832.468382,11123800.5545778,0,0,0,0,123429487.184586,1,"growth","end"
"14",104.04,866355.832468382,11123.8005545778,0,0,0,0,1e+09,1,"growth","start"
"24014",128.04,822368670.483013,111772188.399177,0,0,0,0,66736620.7508331,1,"growth","end"
"15",128.04,822368.670483013,111772.188399177,0,0,0,0,1e+09,1,"growth","start"
"24015",152.04,455879811.550844,545054329.308041,0,0,0,0,2.54525790644418e-27,1,"growth","end"
"16",152.04,455879.811550844,545054.329308041,0,0,0,0,1e+09,1,"growth","start"
"24016",176.04,111895960.22259,889104973.91827,0,0,0,0,1.05444026578951e-90,1,"growth","end"
"17",176.04,1118959.60222591,8891049.7391827,0,0,0,1e+07,1e+09,1,"conj","start"
"701",183.04,8312748.8309262,131712342.13386,0,23038.358604099,537.415015477001,112384837.530384,767576505.072618,1,"conj","end"
"18",183.04,0,0,0,2303.8358604099,53.7415015477001,0,1e+09,1,"tselect","start"
"22810",211.149999999974,0,0,0,7288887.43238378,2723737.19618349,0,989989732.948796,1,"tselect","end"
"110",211.149999999974,0,0,0,7288887.43238378,2723737.19618349,0,1e+09,2,"growth","start"
"24017",235.149999999974,0,0,0,405602200.05011,604410424.578459,0,3.02602517368627e-180,2,"growth","end"
"111",235.149999999974,0,0,0,405602.20005011,604410.424578459,0,1e+09,2,"growth","start"
"240111",259.149999999974,0,0,0,93595020.8307838,907414991.793848,0,8.36250374972805e-96,2,"growth","end"
"121",259.149999999974,0,0,0,93595.0208307838,907414.991793848,0,1e+09,2,"growth","start"
"240121",283.149999999974,0,0,0,16955494.0789188,984045515.933706,0,1.50414571983101e-116,2,"growth","end"
"131",283.149999999974,0,0,0,16955.4940789188,984045.515933706,0,1e+09,2,"growth","start"
"240131",307.149999999974,0,0,0,2922462.94598491,998078538.064029,0,7.33542742745293e-121,2,"growth","end"
"141",307.149999999974,0,0,0,2922.46294598491,998078.538064029,0,1e+09,2,"growth","start"
"240141",331.149999999974,0,0,0,499339.653688474,1000501661.34732,0,1.27978764012769e-121,2,"growth","end"
"151",331.149999999974,0,0,0,499.339653688474,1000501.66134732,0,1e+09,2,"growth","start"
"240151",355.149999999974,0,0,0,85190.9291813455,1000915810.07182,0,9.48701886813273e-122,2,"growth","end"
"161",355.149999999974,0,0,0,85.1909291813455,1000915.81007182,0,1e+09,2,"growth","start"
"240161",379.149999999974,0,0,0,14530.4728711668,1000986470.52813,0,9.01439224590458e-122,2,"growth","end"
"171",379.149999999974,0,0,1e+07,145.304728711668,10009864.7052813,0,1e+09,2,"conj","start"
"7011",386.149999999974,2.99165972846834,605.022677900311,112403303.478642,1079.4059485403,148274952.934662,0,759330066.176419,2,"conj","end"
"181",386.149999999974,0.299165972846834,60.5022677900311,0,0,0,0,1e+09,2,"tselect","start"
"23117",417.329999999946,2282.47195078239,10011030.3246791,0,0,0,0,989986748.004801,2,"tselect","end"
"112",417.329999999946,2282.47195078239,10011030.3246791,0,0,0,0,1e+09,3,"growth","start"
"24018",441.329999999946,70656.5817142881,1009942656.21492,0,0,0,0,9.74297894904904e-253,3,"growth","end"
"113",441.329999999946,70.6565817142881,1009942.65621492,0,0,0,0,1e+09,3,"growth","start"
"240112",465.329999999946,11971.3172225826,1000998041.99558,0,0,0,0,2.83909652137781e-122,3,"growth","end"
"122",465.329999999946,11.9713172225826,1000998.04199558,0,0,0,0,1e+09,3,"growth","start"
"240122",489.329999999946,2041.76531800615,1000998968.248,0,0,0,0,8.92298998370692e-122,3,"growth","end"
"132",489.329999999946,2.04176531800615,1000998.968248,0,0,0,0,1e+09,3,"growth","start"
"240132",513.329999999946,348.233021121268,1001000652.77699,0,0,0,0,8.92238830125915e-122,3,"growth","end"
"142",513.329999999946,0.348233021121268,1001000.65277699,0,0,0,0,1e+09,3,"growth","start"
"240142",537.329999999946,59.392776505859,1001000941.60824,0,0,0,0,8.92053481466388e-122,3,"growth","end"
"152",537.329999999946,0.059392776505859,1001000.94160824,0,0,0,0,1e+09,3,"growth","start"
"240152",561.329999999946,10.1297150443838,1001000990.87129,0,0,0,0,8.92021698137573e-122,3,"growth","end"
"162",561.329999999946,0.0101297150443838,1001000.99087129,0,0,0,0,1e+09,3,"growth","start"
"240162",585.329999999946,1.72767009392391,1001000999.27333,0,0,0,0,8.92016277279098e-122,3,"growth","end"
"172",585.329999999946,0.0172767009392391,10010009.9927333,0,0,0,1e+07,1e+09,3,"conj","start"
"7012",592.329999999946,0.128341133761025,148277103.551535,0,0.000355707696655689,605.03145698018,112403305.870751,759328995.427571,3,"conj","end"
"182",592.329999999946,0,0,0,0,60.503145698018,0,1e+09,3,"tselect","start"
"231171",623.509999999918,0,0,0,0,10011175.8788323,0,989988884.624313,3,"tselect","end"
