Cycle,Phase,Time,Ratio_type,Ratio
0,growout,0,Ancestor:Mutant,1000000
0,growout,0,Mutant:Ancestor,1e-6
0,growout,8.03999999999987,Ancestor:Mutant,452328.7564624071
0,growout,8.03999999999987,Mutant:Ancestor,2.2107813967452445e-6
1,growth,8.03999999999987,Ancestor:Mutant,452328.7564624071
1,growth,8.03999999999987,Mutant:Ancestor,2.2107813967452445e-6
1,growth,32.0399999999999,Ancestor:Mutant,92471.13273794054
1,growth,32.0399999999999,Mutant:Ancestor,1.0814185685752976e-5
1,growth,32.0399999999999,Ancestor:Mutant,92471.13273794056
1,growth,32.0399999999999,Mutant:Ancestor,1.0814185685752974e-5
1,growth,56.0399999999999,Ancestor:Mutant,8748.959801821942
1,growth,56.0399999999999,Mutant:Ancestor,1.1429930216295579e-4
1,growth,56.0399999999999,Ancestor:Mutant,8748.959801821944
1,growth,56.0399999999999,Mutant:Ancestor,1.1429930216295577e-4
1,growth,80.0399999999999,Ancestor:Mutant,825.8851613350187
1,growth,80.0399999999999,Mutant:Ancestor,0.0012108220934536828
1,growth,80.0399999999999,Ancestor:Mutant,825.8851613350189
1,growth,80.0399999999999,Mutant:Ancestor,0.0012108220934536828
1,growth,104.04,Ancestor:Mutant,77.88307855913948
1,growth,104.04,Mutant:Ancestor,0.012839759528004063
1,growth,104.04,Ancestor:Mutant,77.88307855913946
1,growth,104.04,Mutant:Ancestor,0.012839759528004063
1,growth,128.04,Ancestor:Mutant,7.357542893819446
1,growth,128.04,Mutant:Ancestor,0.13591493986939984
1,growth,128.04,Ancestor:Mutant,7.357542893819446
1,growth,128.04,Mutant:Ancestor,0.13591493986939984
1,growth,152.04,Ancestor:Mutant,0.8363933410630715
1,growth,152.04,Mutant:Ancestor,1.1956097100545795
1,growth,152.04,Ancestor:Mutant,0.8363933410630714
1,growth,152.04,Mutant:Ancestor,1.1956097100545797
1,growth,176.04,Ancestor:Mutant,0.12585236108787748
1,growth,176.04,Mutant:Ancestor,7.945818349023596
1,conj,176.04,Ancestor:Mutant,0.1258523610878786
1,conj,176.04,Mutant:Ancestor,7.945818349023525
1,conj,183.04,Ancestor:Mutant,42.86884054337507
1,conj,183.04,Mutant:Ancestor,0.023326966330899274
1,tselect,183.04,Ancestor:Mutant,42.868840543375065
1,tselect,183.04,Mutant:Ancestor,0.023326966330899278
1,tselect,211.149999999974,Ancestor:Mutant,2.6760612009840723
1,tselect,211.149999999974,Mutant:Ancestor,0.3736835314649263
2,growth,211.149999999974,Ancestor:Mutant,2.6760612009840723
2,growth,211.149999999974,Mutant:Ancestor,0.3736835314649263
2,growth,235.149999999974,Ancestor:Mutant,0.6710708213429539
2,growth,235.149999999974,Mutant:Ancestor,1.4901556858019689
2,growth,235.149999999974,Ancestor:Mutant,0.6710708213429539
2,growth,235.149999999974,Mutant:Ancestor,1.4901556858019689
2,growth,259.149999999974,Ancestor:Mutant,0.1031446710459984
2,growth,259.149999999974,Mutant:Ancestor,9.695120357250836
2,growth,259.149999999974,Ancestor:Mutant,0.10314467104599842
2,growth,259.149999999974,Mutant:Ancestor,9.695120357250834
