SetID,SweepID,gamma_M,psi_M,end_time,A1,M1,A2,M2,log_gamma_M,Anc,Mut,Anc_freq,Mut_freq,Mut_freq0,Mut_freq_change,Mut_freq_inv,log_Mut_freq0,log_Mut_freq_change
pDim90_E.R1,1,2.189999999999996e-15,0.354,24,94094641.11905368,84446.34623689284,2464844.9773563733,0.21836298274059449,-14.659555885159882,96559486.09641005,84446.56459987558,0.9991262093514336,8.737906485664438e-4,0.009900990099009901,-0.009027199450443456,Decrease,-2.0043213737826426,-1.0542712337011246
pDim90_E.R1,2,2.6378627531667316e-15,0.354,24,94094641.12286268,84446.34623849789,2464844.9774073437,0.2630190553157531,-14.578747804351801,96559486.10027003,84446.60925755321,0.9991262088897876,8.737911102124271e-4,0.009900990099009901,-0.009027198988797475,Decrease,-2.0043213737826426,-1.0542710042522851
pDim90_E.R1,3,3.177315024906097e-15,0.354,24,94094641.12745044,84446.34624043095,2464844.97746878,0.31680748417871707,-14.497939723543722,96559486.10491921,84446.66304791514,0.9991262083337331,8.737916662669712e-4,0.009900990099009901,-0.00902719843274293,Decrease,-2.0043213737826426,-1.054270727880346
pDim90_E.R1,4,3.827087196016819e-15,0.354,24,94094641.13297664,84446.34624275965,2464844.977542744,0.3815958826557187,-14.41713164273564,96559486.11051938,84446.72783864231,0.999126207663963,8.737923360371089e-4,0.009900990099009901,-0.009027197762972792,Decrease,-2.0043213737826426,-1.0542703949893668
pDim90_E.R1,5,4.609740076481321e-15,0.354,24,94094641.13936096,84446.34624164771,2464844.9785787817,0.4596338040388785,-14.336323561927559,96559486.11793974,84446.80587545176,0.9991262068572683,8.737931427316966e-4,0.009900990099009901,-0.009027196956278204,Decrease,-2.0043213737826426,-1.054269994044163
pDim90_E.R1,6,5.552448241794546e-15,0.354,24,94094641.14747538,84446.34624643305,2464844.97834708,0.5536308522831583,-14.255515481119478,96559486.12582245,84446.89987728534,0.999126205885528,8.737941144720285e-4,0.009900990099009901,-0.009027195984537873,Decrease,-2.0043213737826426,-1.0542695110680347
pDim90_E.R1,7,6.6879435643451615e-15,0.354,24,94094641.1571326,84446.34625050223,2464844.978476369,0.6668507686018773,-14.174707400311398,96559486.13560897,84447.01310127083,0.9991262047150821,8.737952849179733e-4,0.009900990099009901,-0.009027194814091928,Decrease,-2.0043213737826426,-1.0542689293315974
pDim90_E.R1,8,8.055651700304697e-15,0.354,24,94094641.16876468,84446.34625540313,2464844.978632107,0.8032247601703572,-14.093899319503317,96559486.14739679,84447.1494801633,0.9991262033052737,8.737966947263331e-4,0.009900990099009901,-0.009027193404283568,Decrease,-2.0043213737826426,-1.0542682286280027
pDim90_E.R1,9,9.703060992108696e-15,0.354,24,94094641.18277568,84446.34626130694,2464844.9788196636,0.9674880082067432,-14.013091238695235,96559486.16159534,84447.31374931514,0.9991262016071515,8.737983928485169e-4,0.009900990099009901,-0.009027191706161385,Decrease,-2.0043213737826426,-1.0542673846280404
pDim90_E.R1,10,1.1687371316341781e-14,0.354,24,94094641.1998268,84446.3462709271,2464844.97843773,1.1653440961224129,-13.932283157887156,96559486.17826454,84447.51161502322,0.9991261995617231,8.73800438276929e-4,0.009900990099009901,-0.009027189660732972,Decrease,-2.0043213737826426,-1.0542663680122626
pDim90_E.R1,11,1.4077480126852635e-14,0.354,24,94094641.22015458,84446.34627949203,2464844.97870987,1.403663070031828,-13.851475077079074,96559486.19886446,84447.74994256206,0.999126197098027,8.738029019730782e-4,0.009900990099009901,-0.009027187197036823,Decrease,-2.0043213737826426,-1.0542651435128376
pDim90_E.R1,12,1.6956374650716673e-14,0.354,24,94094641.2444638,84446.34628729962,2464844.97964552,1.6907200108814655,-13.770666996270993,96559486.22410932,84448.0370073105,0.9991261941305167,8.738058694831819e-4,0.009900990099009901,-0.00902718422952672,Decrease,-2.0043213737826426,-1.0542636686137823
pDim90_E.R1,13,2.0424013296742443e-14,0.354,24,94094641.2741302,84446.34630223528,2464844.9794324427,2.0364824075942773,-13.689858915462914,96559486.25356264,84448.38278464288,0.9991261905560611,8.738094439387846e-4,0.009900990099009901,-0.009027180655071116,Decrease,-2.0043213737826426,-1.0542618920599467
pDim90_E.R1,14,2.4600796322218743e-14,0.354,24,94094641.30965316,84446.34631720302,2464844.9799080393,2.452956318234002,-13.609050834654832,96559486.2895612,84448.79927352125,0.9991261862506333,8.738137493666441e-4,0.009900990099009901,-0.009027176349643257,Decrease,-2.0043213737826426,-1.0542597522124457
pDim90_E.R1,15,2.9631746263297735e-14,0.354,24,94094641.35244083,84446.34633523172,2464844.9804808586,2.9546033449451055,-13.528242753846751,96559486.3329217,84449.30093857666,0.9991261810647021,8.738189352978803e-4,0.009900990099009901,-0.00902717116371202,Decrease,-2.0043213737826426,-1.0542571747585683
pDim90_E.R1,16,3.5691543278192105e-14,0.354,24,94094641.40397882,84446.34635694718,2464844.9811708224,3.5588429208968972,-13.44743467303867,96559486.38514964,84449.90519986808,0.9991261748181888,8.738251818112351e-4,0.009900990099009901,-0.009027164917198667,Decrease,-2.0043213737826426,-1.054254070206269
pDim90_E.R1,17,4.2990590235881814e-14,0.354,24,94094641.46605653,84446.34638310425,2464844.982001878,4.28665736927682,-13.36662659223059,96559486.4480584,84450.63304047352,0.9991261672941821,8.738327058179209e-4,0.009900990099009901,-0.00902715739319198,Decrease,-2.0043213737826426,-1.0542503307620579
pDim90_E.R1,18,5.178231813693433e-14,0.354,24,94094641.54082943,84446.34641461038,2464844.983002885,5.163320776804916,-13.285818511422509,96559486.52383232,84451.50973538718,0.9991261582314034,8.738417685965396e-4,0.009900990099009901,-0.009027148330413362,Decrease,-2.0043213737826426,-1.0542458265883088
pDim90_E.R1,19,6.237198551874402e-14,0.354,24,94094641.63089456,84446.34645255953,2464844.984208627,6.219277037130938,-13.205010430614427,96559486.61510319,84452.56572959667,0.9991261473151298,8.73852684870134e-4,0.009900990099009901,-0.009027137414139767,Decrease,-2.0043213737826426,-1.0542404012951452
pDim90_E.R1,20,7.512727737029678e-14,0.354,24,94094641.73937848,84446.34649826986,2464844.9856609427,7.491197620684782,-13.124202349806346,96559486.72503942,84453.83769589054,0.9991261341662587,8.738658337412089e-4,0.009900990099009901,-0.009027124265268692,Decrease,-2.0043213737826426,-1.054233866510407
pDim90_E.R1,21,9.049107156252568e-14,0.354,24,94094641.87004946,84446.34655332698,2464844.987410612,9.023255899386845,-13.043394268998266,96559486.85746007,84455.36980922637,0.9991261183281347,8.738816718653705e-4,0.009900990099009901,-0.00902710842714453,Decrease,-2.0043213737826426,-1.0542259953391935
pDim90_E.R1,22,1.0899681605887313e-13,0.354,24,94094642.02717157,84446.34661573626,2464844.99046293,10.8686624207376,-12.962586188190185,96559487.0176345,84457.21527815699,0.9991260992507237,8.739007492762758e-4,0.009900990099009901,-0.009027089349733626,Decrease,-2.0043213737826426,-1.0542165145088735
pDim90_E.R1,23,1.312870508198481e-13,0.354,24,94094642.21702687,84446.34669952776,2464844.992055698,13.091514641922528,-12.881778107382104,96559487.20908257,84459.43821416968,0.9991260762712598,8.7392372874015e-4,0.009900990099009901,-0.009027066370269751,Decrease,-2.0043213737826426,-1.0542050947645185
pDim90_E.R1,24,1.5813571750264125e-13,0.354,24,94094642.44538352,84446.34679574687,2464844.995112751,15.769025686980427,-12.800970026574024,96559487.44049627,84462.11582143385,0.9991260485916688,8.739514083312056e-4,0.009900990099009901,-0.009027038690678696,Decrease,-2.0043213737826426,-1.0541913396702296
pDim90_E.R1,25,1.9047503157329425e-13,0.354,24,94094642.72044338,84446.3469116445,2464844.998794979,18.99420991448312,-12.720161945765943,96559487.71923836,84465.34112155899,0.9991260152503406,8.739847496594572e-4,0.009900990099009901,-0.009027005349350444,Decrease,-2.0043213737826426,-1.0541747716110192
pDim90_E.R1,26,2.294278498609365e-13,0.354,24,94094643.05158468,84446.3470487381,2464845.003837975,22.879119243247736,-12.639353864957862,96559488.05542265,84469.22616798135,0.9991259750889354,8.740249110646838e-4,0.009900990099009901,-0.009026965187945218,Decrease,-2.0043213737826426,-1.0541548153406732
pDim90_E.R1,27,2.7634665739145756e-13,0.354,24,94094643.4506634,84446.3472168917,2464845.0091804126,27.558743513163034,-12.558545784149782,96559488.45984381,84473.90596040487,0.9991259267118967,8.740732881032461e-4,0.009900990099009901,-0.009026916810906655,Decrease,-2.0043213737826426,-1.0541307779257112
