"","Time","A1","M1","F1","A2","M2","F2","C","Cycle","Phase"
"918",385.08,19.0609133551012,0.000941632796232752,10431681.8954259,10319700.1989635,72074.0967211811,0,999176524.747034,6,"conj"
"1018",385.09,21.603904571634,0.00106931028384595,10486935.9218051,10369254.7906059,72559.3441058526,0,999071228.338509,6,"conj"
"1118",385.1,24.1839238843383,0.00119931118438841,10542482.5451838,10419047.2884734,73047.8579657797,0,998965398.123254,6,"conj"
"1218",385.11,26.801400262982,0.00133166879571075,10598323.3142699,10469078.8342018,73539.6602833056,0,998859031.388513,6,"conj"
"1318",385.12,29.4567672783491,0.00146641685272754,10654459.7859619,10519350.5749007,74034.7731886426,0,998752125.407715,6,"conj"
"1418",385.13,32.1504631499608,0.00160358953292227,10710893.5253905,10569863.6631786,74533.2189608532,0,998644677.440403,6,"conj"
"1518",385.14,34.8829307943712,0.00174322146192452,10767626.1059628,10620619.2571694,75035.0200288534,0,998536684.732165,6,"conj"
"1618",385.15,37.6546178739396,0.00188534771915515,10824659.1094055,10671618.5205591,75540.1989724196,0,998428144.51456,6,"conj"
"1718",385.16,40.4659768461207,0.00203000384354211,10881994.1258095,10722862.6226122,76048.7785232062,0,998319054.005048,6,"conj"
"1818",385.17,43.3174650131664,0.00217722583930191,10939632.7536723,10774352.7381976,76560.781565752,0,998209410.406922,6,"conj"
"1918",385.18,46.209544572522,0.00232705018180212,10997576.599945,10826090.047817,77076.2311385284,0,998099210.909228,6,"conj"
"2018",385.19,49.1426826675515,0.00247951382348651,11055827.280075,10878075.7376306,77595.15043496,0,997988452.686697,6,"conj"
"2118",385.2,52.1173514388762,0.00263465419987809,11114386.4180513,10930310.9994846,78117.5628044691,0,997877132.899674,6,"conj"
"2218",385.21,55.134028076218,0.00279250923565518,11173255.6464498,10982797.0309385,78643.4917535241,0,997765248.694038,6,"conj"
"2318",385.22,58.1931948707951,0.00295311735080359,11232436.6064787,11035535.0352924,79172.9609466981,0,997652797.201134,6,"conj"
"2418",385.23,61.2953392681505,0.00311651746683909,11291930.9480228,11088526.2216133,79705.9942077175,0,997539775.5377,6,"conj"
"2518",385.24,64.4409539217252,0.00328274901311753,11351740.3296912,11141771.804765,80242.6155205522,0,997426180.805787,6,"conj"
"2618",385.25,67.6305367467755,0.00345185193321182,11411866.4188623,11195273.0054338,80782.849030478,0,997312010.092685,6,"conj"
"2718",385.26,70.8645909749431,0.00362386669137296,11472310.89173,11249031.0501574,81326.7190451647,0,997197260.470853,6,"conj"
"2818",385.27,74.1436252093633,0.00379883427906961,11533075.4333504,11303047.1713524,81874.2500357665,0,997081928.997838,6,"conj"
"2918",385.28,77.4681534803367,0.00397679622160821,11594161.7376887,11357322.6073426,82425.4666380206,0,996966012.716201,6,"conj"
"3018",385.29,80.8386953015915,0.00415779458483582,11655571.5076663,11411858.6023876,82980.3936533569,0,996849508.65344,6,"conj"
"3118",385.3,84.2557757270104,0.00434187198191957,11717306.4552065,11466656.4067096,83539.0560499966,0,996732413.821916,6,"conj"
"3218",385.31,87.7199254081601,0.0045290715802216,11779368.3012848,11521717.2765244,84101.4789640942,0,996614725.218772,6,"conj"
"3318",385.32,91.231680652186,0.00471943710824664,11841758.7759745,11577042.4740682,84667.687700852,0,996496439.825856,6,"conj"
"3418",385.33,94.7915834804094,0.00491301286268111,11904479.6184954,11632633.2676272,85237.7077356587,0,996377554.609645,6,"conj"
"3518",385.34,98.4001816875025,0.00510984371551776,11967532.5772621,11688490.931566,85811.5647152332,0,996258066.521165,6,"conj"
"3618",385.35,102.058028901291,0.00530997512126925,12030919.4099326,11744616.7463576,86389.2844587797,0,996137972.495912,6,"conj"
"3718",385.36,105.765684643048,0.00551345312426392,12094641.8834558,11801011.9986106,86970.8929591304,0,996017269.453777,6,"conj"
"3818",385.37,109.523714388645,0.00572032436604461,12158701.7741226,11857677.9811011,87556.4163839356,0,995895954.298958,6,"conj"
"3918",385.38,113.332689630086,0.00593063609284525,12223100.8676139,11914615.9928007,88145.8810768228,0,995774023.919888,6,"conj"
"4018",385.39,117.193187937792,0.0061444361631661,12287840.9590503,11971827.3389062,88739.3135585822,0,995651475.189153,6,"conj"
"4118",385.4,121.105793023496,0.0063617730554408,12352923.853042,12029313.3308697,89336.7405283574,0,995528304.963405,6,"conj"
"4218",385.41,125.071094803811,0.00658269587579923,12418351.363739,12087075.2864286,89938.1888648472,0,995404510.08329,6,"conj"
"4318",385.42,129.089689464306,0.00680725436591849,12484125.3148803,12145114.5296345,90543.6856274961,0,995280087.373361,6,"conj"
"4418",385.43,133.162179524513,0.00703549891098514,12550247.5398463,12203432.3908852,91153.2580577321,0,995155033.641996,6,"conj"
"4518",385.44,137.289173903324,0.00726748054774063,12616719.8817085,12262030.2069537,91766.9335801734,0,995029345.681316,6,"conj"
"4618",385.45,141.471287985193,0.00750325097263298,12683544.193281,12320909.3210193,92384.739803863,0,994903020.267105,6,"conj"
"4718",385.46,145.709143686985,0.00774286255006724,12750722.3371713,12380071.0826979,93006.7045235073,0,994776054.158721,6,"conj"
