"","Time","Cycle","Phase","Cell_types","Density","Host","Genotype"
"104",0.14,1,"conj","F2",10875049.7250769,"2","F"
"105",0.14,1,"conj","C",998219096.136501,"C","C"
"106",0.15,1,"conj","A1",107307.289202658,"1","A"
"107",0.15,1,"conj","M1",10966277.1637647,"1","M"
"108",0.15,1,"conj","F1",0,"1","F"
"109",0.15,1,"conj","A2",0,"2","A"
"110",0.15,1,"conj","M2",0,"2","M"
"111",0.15,1,"conj","F2",10940406.4951732,"2","F"
"112",0.15,1,"conj","C",998086008.367817,"C","C"
"113",0.16,1,"conj","A1",107813.00504294,"1","A"
"114",0.16,1,"conj","M1",11033919.3514694,"1","M"
"115",0.16,1,"conj","F1",0,"1","F"
"116",0.16,1,"conj","A2",0,"2","A"
"117",0.16,1,"conj","M2",0,"2","M"
"118",0.16,1,"conj","F2",11006155.9585514,"2","F"
"119",0.16,1,"conj","C",997952110.949182,"C","C"
"120",0.17,1,"conj","A1",108321.103535374,"1","A"
"121",0.17,1,"conj","M1",11101978.6791129,"1","M"
"122",0.17,1,"conj","F1",0,"1","F"
"123",0.17,1,"conj","A2",0,"2","A"
"124",0.17,1,"conj","M2",0,"2","M"
"125",0.17,1,"conj","F2",11072300.4736108,"2","F"
"126",0.17,1,"conj","C",997817398.955455,"C","C"
"127",0.18,1,"conj","A1",108831.59589819,"1","A"
"128",0.18,1,"conj","M1",11170457.7180014,"1","M"
"129",0.18,1,"conj","F1",0,"1","F"
"130",0.18,1,"conj","A2",0,"2","A"
"131",0.18,1,"conj","M2",0,"2","M"
"132",0.18,1,"conj","F2",11138842.4129009,"2","F"
"133",0.18,1,"conj","C",997681867.431551,"C","C"
"134",0.19,1,"conj","A1",109344.493402354,"1","A"
"135",0.19,1,"conj","M1",11239359.0552762,"1","M"
"136",0.19,1,"conj","F1",0,"1","F"
"137",0.19,1,"conj","A2",0,"2","A"
"138",0.19,1,"conj","M2",0,"2","M"
"139",0.19,1,"conj","F2",11205784.1632062,"2","F"
"140",0.19,1,"conj","C",997545511.392261,"C","C"
"141",0.2,1,"conj","A1",109859.807371811,"1","A"
"142",0.2,1,"conj","M1",11308685.2940118,"1","M"
"143",0.2,1,"conj","F1",0,"1","F"
"144",0.2,1,"conj","A2",0,"2","A"
"145",0.2,1,"conj","M2",0,"2","M"
"146",0.2,1,"conj","F2",11273128.1256315,"2","F"
"147",0.2,1,"conj","C",997408325.822073,"C","C"
"148",0.21,1,"conj","A1",110377.549183735,"1","A"
"149",0.21,1,"conj","M1",11378439.0533129,"1","M"
"150",0.21,1,"conj","F1",0,"1","F"
"151",0.21,1,"conj","A2",0,"2","A"
"152",0.21,1,"conj","M2",0,"2","M"
"153",0.21,1,"conj","F2",11340876.7156876,"2","F"
"154",0.21,1,"conj","C",997270305.674982,"C","C"
"155",0.22,1,"conj","A1",110897.730268779,"1","A"
"156",0.22,1,"conj","M1",11448622.9684138,"1","M"
"157",0.22,1,"conj","F1",0,"1","F"
"158",0.22,1,"conj","A2",0,"2","A"
"159",0.22,1,"conj","M2",0,"2","M"
"160",0.22,1,"conj","F2",11409032.3633775,"2","F"
"161",0.22,1,"conj","C",997131445.874309,"C","C"
"162",0.23,1,"conj","A1",111420.362111327,"1","A"
"163",0.23,1,"conj","M1",11519239.690777,"1","M"
"164",0.23,1,"conj","F1",0,"1","F"
"165",0.23,1,"conj","A2",0,"2","A"
"166",0.23,1,"conj","M2",0,"2","M"
"167",0.23,1,"conj","F2",11477597.5132832,"2","F"
"168",0.23,1,"conj","C",996991741.312515,"C","C"
"169",0.24,1,"conj","A1",111945.45624974,"1","A"
"170",0.24,1,"conj","M1",11590291.8881931,"1","M"
"171",0.24,1,"conj","F1",0,"1","F"
"172",0.24,1,"conj","A2",0,"2","A"
"173",0.24,1,"conj","M2",0,"2","M"
"174",0.24,1,"conj","F2",11546574.6246531,"2","F"
"175",0.24,1,"conj","C",996851186.851009,"C","C"
"176",0.25,1,"conj","A1",112473.024276615,"1","A"
"177",0.25,1,"conj","M1",11661782.2448813,"1","M"
"178",0.25,1,"conj","F1",0,"1","F"
"179",0.25,1,"conj","A2",0,"2","A"
"180",0.25,1,"conj","M2",0,"2","M"
"181",0.25,1,"conj","F2",11615966.1714898,"2","F"
"182",0.25,1,"conj","C",996709777.319967,"C","C"
"183",0.26,1,"conj","A1",113003.077839034,"1","A"
"184",0.26,1,"conj","M1",11733713.4615899,"1","M"
"185",0.26,1,"conj","F1",0,"1","F"
"186",0.26,1,"conj","A2",0,"2","A"
"187",0.26,1,"conj","M2",0,"2","M"
"188",0.26,1,"conj","F2",11685774.6426379,"2","F"
"189",0.26,1,"conj","C",996567507.518137,"C","C"
"190",0.27,1,"conj","A1",113535.628638823,"1","A"
"191",0.27,1,"conj","M1",11806088.2556986,"1","M"
"192",0.27,1,"conj","F1",0,"1","F"
"193",0.27,1,"conj","A2",0,"2","A"
"194",0.27,1,"conj","M2",0,"2","M"
"195",0.27,1,"conj","F2",11756002.5418739,"2","F"
"196",0.27,1,"conj","C",996424372.212648,"C","C"
"197",0.28,1,"conj","A1",114070.688432804,"1","A"
"198",0.28,1,"conj","M1",11878909.36132,"1","M"
"199",0.28,1,"conj","F1",0,"1","F"
"200",0.28,1,"conj","A2",0,"2","A"
"201",0.28,1,"conj","M2",0,"2","M"
"202",0.28,1,"conj","F2",11826652.3879944,"2","F"
"203",0.28,1,"conj","C",996280366.138823,"C","C"
"204",0.29,1,"conj","A1",114608.269033056,"1","A"
