SetID,SweepID,gamma_fold,psi_change,gamma_M,psi_M,end_time,A1,M1,A2,M2
pHFC_S.pB10-high,1,-4,-0.4,1.5600000000000002e-16,-0.01,29,0,0,14686351.06999965,1.550272734067568e-4
pHFC_S.pB10-high,2,-3.8,-0.4,2.472433380239338e-16,-0.01,29,0,0,14686351.069587113,2.457016717420179e-4
pHFC_S.pB10-high,3,-3.6,-0.4,3.918542833154944e-16,-0.01,29,0,0,14686351.068933168,3.894109106223701e-4
pHFC_S.pB10-high,4,-3.4,-0.4,6.210471860634559e-16,-0.01,29,0,0,14686351.067896793,6.171747106148103e-4
pHFC_S.pB10-high,5,-3.2,-0.4,9.84293457389101e-16,-0.01,29,0,0,14686351.066254172,9.781560207714189e-4
pHFC_S.pB10-high,6,-3,-0.4,1.5600000000000001e-15,-0.01,29,0,0,14686351.063650893,0.0015502728771602692
pHFC_S.pB10-high,7,-2.8,-0.4,2.472433380239338e-15,-0.01,29,0,0,14686351.059525056,0.0024570170768528307
pHFC_S.pB10-high,8,-2.5999999999999996,-0.4,3.918542833154948e-15,-0.01,29,0,0,14686351.05298587,0.003894110009077707
pHFC_S.pB10-high,9,-2.4,-0.4,6.210471860634559e-15,-0.01,29,0,0,14686351.042622035,0.006171749374015026
pHFC_S.pB10-high,10,-2.2,-0.4,9.842934573891011e-15,-0.01,29,0,0,14686351.026196545,0.009781565904339387
pHFC_S.pB10-high,11,-2,-0.4,1.56e-14,-0.01,29,0,0,14686351.000163717,0.015502743080882207
pHFC_S.pB10-high,12,-1.7999999999999998,-0.4,2.4724333802393382e-14,-0.01,29,0,0,14686350.958904477,0.024570206711828954
pHFC_S.pB10-high,13,-1.5999999999999996,-0.4,3.918542833154948e-14,-0.01,29,0,0,14686350.893512957,0.03894119037632892
pHFC_S.pB10-high,14,-1.4,-0.4,6.210471860634558e-14,-0.01,29,0,0,14686350.789874364,0.06171772052745065
pHFC_S.pB10-high,15,-1.1999999999999995,-0.4,9.842934573891021e-14,-0.01,29,0,0,14686350.625617864,0.09781622870832411
pHFC_S.pB10-high,16,-1,-0.4,1.5600000000000004e-13,-0.01,29,0,0,14686350.365288144,0.15502886174635885
pHFC_S.pB10-high,17,-0.7999999999999998,-0.4,2.472433380239338e-13,-0.01,29,0,0,14686349.95269133,0.24570566148651915
pHFC_S.pB10-high,18,-0.5999999999999996,-0.4,3.918542833154949e-13,-0.01,29,0,0,14686349.298764756,0.38942093247035725
pHFC_S.pB10-high,19,-0.3999999999999999,-0.4,6.210471860634558e-13,-0.01,29,0,0,14686348.26234911,0.6171998846092447
pHFC_S.pB10-high,20,-0.19999999999999973,-0.4,9.84293457389102e-13,-0.01,29,0,0,14686346.619710991,0.9782192559836084
pHFC_S.pB10-high,21,0,-0.4,1.56e-12,-0.01,29,0,0,14686344.016229529,1.5504317208015497
pHFC_S.pB10-high,22,0.20000000000000015,-0.4,2.472433380239338e-12,-0.01,29,0,0,14686339.889800021,2.457416089844875
