SetID,SweepID,gamma_fold,psi_change,gamma_M,psi_M,end_time,A1,M1,A2,M2,log_gamma_M,Anc,Mut,Anc_freq,Mut_freq,Mut_freq0,Mut_freq_change,Mut_freq_inv
pHFC_S.pB10-high,1,-4,-0.4,1.5600000000000002e-16,-0.01,29,0,0,14686351.06999965,1.550272734067568e-4,-15.806875401645538,14686351.06999965,1.550272734067568e-4,0.9999999999894441,1.0555874135529843e-11,0.009900990099009901,-0.009900990088454027,Decrease
pHFC_S.pB10-high,2,-3.8,-0.4,2.472433380239338e-16,-0.01,29,0,0,14686351.069587111,2.457016717420179e-4,-15.606875401645539,14686351.069587111,2.457016717420179e-4,0.99999999998327,1.672993315859873e-11,0.009900990099009901,-0.009900990082279968,Decrease
pHFC_S.pB10-high,3,-3.6,-0.4,3.918542833154944e-16,-0.01,29,0,0,14686351.068933168,3.894109106223701e-4,-15.40687540164554,14686351.068933168,3.894109106223701e-4,0.9999999999734849,2.651515742639346e-11,0.009900990099009901,-0.009900990072494743,Decrease
pHFC_S.pB10-high,4,-3.4,-0.4,6.210471860634559e-16,-0.01,29,0,0,14686351.067896793,6.171747106148103e-4,-15.206875401645538,14686351.067896793,6.171747106148103e-4,0.9999999999579763,4.20236931376351e-11,0.009900990099009901,-0.009900990056986208,Decrease
pHFC_S.pB10-high,5,-3.2,-0.4,9.84293457389101e-16,-0.01,29,0,0,14686351.066254172,9.781560207714189e-4,-15.006875401645539,14686351.066254172,9.781560207714189e-4,0.9999999999333968,6.660306677223904e-11,0.009900990099009901,-0.009900990032406834,Decrease
pHFC_S.pB10-high,6,-3,-0.4,1.5600000000000001e-15,-0.01,29,0,0,14686351.063650891,0.00155027287716026,-14.806875401645538,14686351.063650891,0.00155027287716026,0.9999999998944413,1.0555875113414534e-10,0.009900990099009901,-0.00990098999345115,Decrease
pHFC_S.pB10-high,7,-2.8,-0.4,2.472433380239338e-15,-0.01,29,0,0,14686351.059525056,0.00245701707685283,-14.606875401645539,14686351.059525056,0.00245701707685283,0.9999999998327006,1.6729935614934363e-10,0.009900990099009901,-0.009900989931710544,Decrease
pHFC_S.pB10-high,8,-2.5999999999999996,-0.4,3.918542833154948e-15,-0.01,29,0,0,14686351.05298587,0.0038941100090777,-14.406875401645538,14686351.05298587,0.0038941100090777,0.9999999997348484,2.651516359642964e-10,0.009900990099009901,-0.009900989833858264,Decrease
pHFC_S.pB10-high,9,-2.4,-0.4,6.210471860634559e-15,-0.01,29,0,0,14686351.042622035,0.00617174937401502,-14.206875401645538,14686351.042622035,0.00617174937401502,0.9999999995797629,4.202370863606666e-10,0.009900990099009901,-0.009900989678772815,Decrease
pHFC_S.pB10-high,10,-2.2,-0.4,9.842934573891011e-15,-0.01,29,0,0,14686351.026196543,0.00978156590433938,-14.006875401645539,14686351.026196543,0.00978156590433938,0.999999999333969,6.660310570254546e-10,0.009900990099009901,-0.009900989432978844,Decrease
pHFC_S.pB10-high,11,-2,-0.4,1.56e-14,-0.01,29,0,0,14686351.000163715,0.0155027430808822,-13.806875401645538,14686351.000163715,0.0155027430808822,0.9999999989444115,1.0555884892268247e-9,0.009900990099009901,-0.009900989043421411,Decrease
pHFC_S.pB10-high,12,-1.7999999999999998,-0.4,2.4724333802393382e-14,-0.01,29,0,0,14686350.958904477,0.02457020671182895,-13.606875401645539,14686350.958904477,0.02457020671182895,0.999999998327004,1.6729960178315048e-9,0.009900990099009901,-0.009900988426013883,Decrease
pHFC_S.pB10-high,13,-1.5999999999999996,-0.4,3.918542833154948e-14,-0.01,29,0,0,14686350.893512957,0.03894119037632892,-13.406875401645538,14686350.893512957,0.03894119037632892,0.9999999973484776,2.6515225296895242e-9,0.009900990099009901,-0.009900987447487372,Decrease
pHFC_S.pB10-high,14,-1.4,-0.4,6.210471860634558e-14,-0.01,29,0,0,14686350.789874364,0.06171772052745065,-13.206875401645538,14686350.789874364,0.06171772052745065,0.9999999957976137,4.2023863620798695e-9,0.009900990099009901,-0.009900985896623539,Decrease
pHFC_S.pB10-high,15,-1.1999999999999995,-0.4,9.842934573891021e-14,-0.01,29,0,0,14686350.625617864,0.09781622870832413,-13.006875401645539,14686350.625617864,0.09781622870832413,0.9999999933396505,6.660349500726881e-9,0.009900990099009901,-0.0099009834386604,Decrease
pHFC_S.pB10-high,16,-1,-0.4,1.5600000000000004e-13,-0.01,29,0,0,14686350.365288144,0.15502886174635885,-12.806875401645538,14686350.365288144,0.15502886174635885,0.9999999894440174,1.0555982681462824e-8,0.009900990099009901,-0.00990097954302722,Decrease
pHFC_S.pB10-high,17,-0.7999999999999998,-0.4,2.472433380239338e-13,-0.01,29,0,0,14686349.95269133,0.24570566148651915,-12.606875401645539,14686349.95269133,0.24570566148651915,0.9999999832697941,1.6730205814739307e-8,0.009900990099009901,-0.009900973368804087,Decrease
pHFC_S.pB10-high,18,-0.5999999999999996,-0.4,3.918542833154949e-13,-0.01,29,0,0,14686349.298764756,0.3894209324703573,-12.406875401645538,14686349.298764756,0.3894209324703573,0.9999999734841577,2.6515842311968352e-8,0.009900990099009901,-0.00990096358316759,Decrease
pHFC_S.pB10-high,19,-0.3999999999999999,-0.4,6.210471860634558e-13,-0.01,29,0,0,14686348.26234911,0.6171998846092447,-12.206875401645538,14686348.26234911,0.6171998846092447,0.9999999579745865,4.2025413509596425e-8,0.009900990099009901,-0.00990094807359639,Decrease
pHFC_S.pB10-high,20,-0.19999999999999973,-0.4,9.84293457389102e-13,-0.01,29,0,0,14686346.619710991,0.9782192559836084,-12.006875401645539,14686346.619710991,0.9782192559836084,0.9999999333926118,6.660738821961897e-8,0.009900990099009901,-0.009900923491621682,Decrease
pHFC_S.pB10-high,21,0,-0.4,1.56e-12,-0.01,29,0,0,14686344.016229527,1.5504317208015497,-11.806875401645538,14686344.016229527,1.5504317208015497,0.9999998944303936,1.0556960639147077e-7,0.009900990099009901,-0.00990088452940351,Decrease
pHFC_S.pB10-high,22,0.20000000000000015,-0.4,2.472433380239338e-12,-0.01,29,0,0,14686339.88980002,2.457416089844875,-11.606875401645539,14686339.88980002,2.457416089844875,0.9999998326733757,1.6732662440697454e-7,0.009900990099009901,-0.009900822772385494,Decrease
pHFC_S.pB10-high,23,0.4000000000000003,-0.4,3.918542833154948e-12,-0.01,29,0,0,14686333.349374153,3.895112347323162,-11.406875401645538,14686333.349374153,3.895112347323162,0.999999734779865,2.6522013504663684e-7,0.009900990099009901,-0.009900724878874854,Decrease
pHFC_S.pB10-high,24,0.6000000000000005,-0.4,6.210471860634565e-12,-0.01,29,0,0,14686322.982301837,6.174267384391276,-11.206875401645538,14686322.982301837,6.174267384391276,0.9999995795908345,4.2040916546048637e-7,0.009900990099009901,-0.00990056968984444,Decrease
pHFC_S.pB10-high,25,0.8000000000000007,-0.4,9.842934573891032e-12,-0.01,29,0,0,14686306.548595715,9.787891858035495,-11.006875401645537,14686306.548595715,9.787891858035495,0.9999993335366314,6.664633686064533e-7,0.009900990099009901,-0.009900323635641294,Decrease
pHFC_S.pB10-high,26,1,-0.4,1.56e-11,-0.01,29,0,0,14686280.495378554,15.518637130837549,-10.806875401645538,14686280.495378554,15.518637130837549,0.9999989433253208,1.0566746793083519e-6,0.009900990099009901,-0.009899933424330593,Decrease
pHFC_S.pB10-high,27,1.2000000000000002,-0.4,2.4724333802393383e-11,-0.01,29,0,0,14686239.184842756,24.610146583384932,-10.606875401645539,14686239.184842756,24.610146583384932,0.9999983242745107,1.675725489268511e-6,0.009900990099009901,-0.009899314373520632,Decrease
pHFC_S.pB10-high,28,1.4000000000000004,-0.4,3.918542833154948e-11,-0.01,29,0,0,14686173.664369222,39.041577838320926,-10.406875401645538,14686173.664369222,39.041577838320926,0.999997341617024,2.6583829759262144e-6,0.009900990099009901,-0.009898331716033975,Decrease
pHFC_S.pB10-high,29,1.6000000000000003,-0.4,6.210471860634565e-11,-0.01,29,0,0,14686069.701482356,61.97013370035789,-10.206875401645538,14686069.701482356,61.97013370035789,0.9999957803637415,4.219636258615863e-6,0.009900990099009901,-0.009896770462751284,Decrease
pHFC_S.pB10-high,30,1.8000000000000007,-0.4,9.842934573891031e-11,-0.01,29,0,0,14685904.629548589,98.45126415135566,-10.006875401645537,14685904.629548589,98.45126415135566,0.9999932962519749,6.703748025218803e-6,0.009900990099009901,-0.009894286350984683,Decrease
pHFC_S.pB10-high,31,2,-0.4,1.56e-10,-0.01,29,0,0,14685642.247519786,156.62800057494573,-9.806875401645538,14685642.247519786,156.62800057494573,0.9999893347306537,1.0665269346431516e-5,0.009900990099009901,-0.009890324829663469,Decrease
pHFC_S.pB10-high,32,2.2,-0.4,2.4724333802393377e-10,-0.01,29,0,0,14685224.479772136,249.73852465596244,-9.606875401645539,14685224.479772136,249.73852465596244,0.9999829941804436,1.700581955636206e-5,0.009900990099009901,-0.009883984279453539,Decrease
pHFC_S.pB10-high,33,2.4000000000000004,-0.4,3.9185428331549477e-10,-0.01,29,0,0,14684557.500525454,399.6152397809856,-9.406875401645538,14684557.500525454,399.6152397809856,0.999972787442508,2.72125574920456e-5,0.009900990099009901,-0.009873777541517855,Decrease
pHFC_S.pB10-high,34,2.6000000000000005,-0.4,6.210471860634564e-10,-0.01,29,0,0,14683488.041693429,643.065552003055,-9.206875401645538,14683488.041693429,643.065552003055,0.9999562067685649,4.379323143510712e-5,0.009900990099009901,-0.009857196867574794,Decrease
pHFC_S.pB10-high,35,2.8000000000000007,-0.4,9.84293457389103e-10,-0.01,29,0,0,14681761.367013227,1044.2407262688605,-9.006875401645537,14681761.367013227,1044.2407262688605,0.9999288800278252,7.111997217469308e-5,0.009900990099009901,-0.009829870126835208,Decrease
pHFC_S.pB10-high,36,3,-0.4,1.56e-9,-0.01,29,0,0,14678942.569794657,1720.578622085258,-8.806875401645538,14678942.569794657,1720.578622085258,0.9998827996661532,1.1720033384669114e-4,0.009900990099009901,-0.00978378976516321,Decrease
pHFC_S.pB10-high,37,3.2,-0.4,2.472433380239337e-9,-0.01,29,0,0,14674257.801917445,2902.8101413525183,-8.606875401645539,14674257.801917445,2902.8101413525183,0.9998022226356937,1.977773643062515e-4,0.009900990099009901,-0.00970321273470365,Decrease
pHFC_S.pB10-high,38,3.4000000000000004,-0.4,3.918542833154948e-9,-0.01,29,0,0,14666240.79147334,5091.355092209545,-8.406875401645538,14666240.79147334,5091.355092209545,0.9996529725425513,3.470274574488039e-4,0.009900990099009901,-0.009553962641561097,Decrease
pHFC_S.pB10-high,39,3.6000000000000005,-0.4,6.2104718606345645e-9,-0.01,29,0,0,14651838.603893094,9528.534856217517,-8.206875401645538,14651838.603893094,9528.534856217517,0.9993500923368167,6.49907663183336e-4,0.009900990099009901,-0.009251082435826565,Decrease
pHFC_S.pB10-high,40,3.8000000000000007,-0.4,9.842934573891031e-9,-0.01,29,0,0,14623742.01032976,19916.702748902324,-8.006875401645537,14623742.01032976,19916.702748902324,0.9986399093874597,0.0013600906125403045,0.009900990099009901,-0.008540899486469597,Decrease
pHFC_S.pB10-high,41,4,-0.4,1.56e-8,-0.01,29,0,0,14560470.654806998,50381.60110867946,-7.806875401645538,14560470.654806998,50381.60110867946,0.9965517684919248,0.0034482315080751596,0.009900990099009901,-0.0064527585909347415,Decrease
pHFC_S.pB10-high,42,-4,-0.38,1.5600000000000002e-16,0.01,29,0,0,14686347.844163178,2.7523194601584457e-4,-15.806875401645538,14686347.844163178,2.7523194601584457e-4,0.9999999999812593,1.8740666429201626e-11,0.009900990099009901,-0.009900990080269234,Decrease
pHFC_S.pB10-high,43,-3.8,-0.38,2.472433380239338e-16,0.01,29,0,0,14686347.843734978,4.3621324020398503e-4,-15.606875401645539,14686347.843734978,4.3621324020398503e-4,0.9999999999702981,2.9701954824467275e-11,0.009900990099009901,-0.009900990069307947,Decrease
pHFC_S.pB10-high,44,-3.6,-0.38,3.918542833154944e-16,0.01,29,0,0,14686347.84305632,6.913514014309045e-4,-15.40687540164554,14686347.84305632,6.913514014309045e-4,0.9999999999529257,4.707442645281137e-11,0.009900990099009901,-0.009900990051935475,Decrease
