SetID,SweepID,gamma_fold,psi_change,gamma_M,psi_M,end_time,A1,M1,A2,M2,Anc,Mut,Anc_freq,Mut_freq,Mut_freq0,Mut_freq_change,Invasion
testmut,38,-0.3999999999999999,-0.08000000000000002,5.573500387748963e-15,0.31,77,0,0,10000000,0,10000000,0,1,0,0.009900990099009901,Decrease,Excluded
testmut,39,0,-0.08000000000000002,1.4e-14,0.31,77,0,0,10000000,0,10000000,0,1,0,0.009900990099009901,Decrease,Excluded
testmut,40,0.4000000000000003,-0.08000000000000002,3.5166410041134154e-14,0.31,308,0,10000000,0,0,0,10000000,0,1,0.009900990099009901,Increase,Displaced
testmut,41,0.8000000000000003,-0.08000000000000002,8.833402822722711e-14,0.31,308,0,10000000,0,0,0,10000000,0,1,0.009900990099009901,Increase,Displaced
testmut,42,1.2000000000000002,-0.08000000000000002,2.21885046944556e-13,0.31,231,0,0,0,10000000,0,10000000,0,1,0.009900990099009901,Increase,Displaced
testmut,43,1.6,-0.08000000000000002,5.573500387748963e-13,0.31,231,0,0,0,10000000,0,10000000,0,1,0.009900990099009901,Increase,Displaced
testmut,44,2,-0.08000000000000002,1.4e-12,0.31,231,0,0,0,10000000,0,10000000,0,1,0.009900990099009901,Increase,Displaced
testmut,45,-2,-0.04000000000000001,1.4e-16,0.35,77,0,0,10000000,0,10000000,0,1,0,0.009900990099009901,Decrease,Excluded
testmut,46,-1.6,-0.04000000000000001,3.5166410041134115e-16,0.35,77,0,0,10000000,0,10000000,0,1,0,0.009900990099009901,Decrease,Excluded
testmut,47,-1.2,-0.04000000000000001,8.833402822722709e-16,0.35,77,0,0,10000000,0,10000000,0,1,0,0.009900990099009901,Decrease,Excluded
testmut,48,-0.7999999999999998,-0.04000000000000001,2.2188504694455602e-15,0.35,77,0,0,10000000,0,10000000,0,1,0,0.009900990099009901,Decrease,Excluded
testmut,49,-0.3999999999999999,-0.04000000000000001,5.573500387748963e-15,0.35,77,0,0,10000000,0,10000000,0,1,0,0.009900990099009901,Decrease,Excluded
testmut,50,0,-0.04000000000000001,1.4e-14,0.35,77,0,0,10000000,0,10000000,0,1,0,0.009900990099009901,Decrease,Excluded
testmut,51,0.4000000000000003,-0.04000000000000001,3.5166410041134154e-14,0.35,308,0,10000000,0,0,0,10000000,0,1,0.009900990099009901,Increase,Displaced
testmut,52,0.8000000000000003,-0.04000000000000001,8.833402822722711e-14,0.35,308,0,10000000,0,0,0,10000000,0,1,0.009900990099009901,Increase,Displaced
testmut,53,1.2000000000000002,-0.04000000000000001,2.21885046944556e-13,0.35,231,0,0,0,10000000,0,10000000,0,1,0.009900990099009901,Increase,Displaced
testmut,54,1.6,-0.04000000000000001,5.573500387748963e-13,0.35,231,0,0,0,10000000,0,10000000,0,1,0.009900990099009901,Increase,Displaced
testmut,55,2,-0.04000000000000001,1.4e-12,0.35,231,0,0,0,10000000,0,10000000,0,1,0.009900990099009901,Increase,Displaced
testmut,56,-2,0,1.4e-16,0.39,77,0,0,10000000,0,10000000,0,1,0,0.009900990099009901,Decrease,Excluded
testmut,57,-1.6,0,3.5166410041134115e-16,0.39,77,0,0,10000000,0,10000000,0,1,0,0.009900990099009901,Decrease,Excluded
testmut,58,-1.2,0,8.833402822722709e-16,0.39,77,0,0,10000000,0,10000000,0,1,0,0.009900990099009901,Decrease,Excluded
testmut,59,-0.7999999999999998,0,2.2188504694455602e-15,0.39,77,0,0,10000000,0,10000000,0,1,0,0.009900990099009901,Decrease,Excluded
testmut,60,-0.3999999999999999,0,5.573500387748963e-15,0.39,77,0,0,10000000,0,10000000,0,1,0,0.009900990099009901,Decrease,Excluded
testmut,61,0,0,1.4e-14,0.39,77,0,0,10000000,0,10000000,0,1,0,0.009900990099009901,Decrease,Excluded
testmut,62,0.4000000000000003,0,3.5166410041134154e-14,0.39,308,0,10000000,0,0,0,10000000,0,1,0.009900990099009901,Increase,Displaced
testmut,63,0.8000000000000003,0,8.833402822722711e-14,0.39,308,0,10000000,0,0,0,10000000,0,1,0.009900990099009901,Increase,Displaced
testmut,64,1.2000000000000002,0,2.21885046944556e-13,0.39,231,0,0,0,10000000,0,10000000,0,1,0.009900990099009901,Increase,Displaced
testmut,65,1.6,0,5.573500387748963e-13,0.39,231,0,0,0,10000000,0,10000000,0,1,0.009900990099009901,Increase,Displaced
testmut,66,2,0,1.4e-12,0.39,231,0,0,0,10000000,0,10000000,0,1,0.009900990099009901,Increase,Displaced
testmut,67,-2,0.03999999999999998,1.4e-16,0.43,77,0,0,10000000,0,10000000,0,1,0,0.009900990099009901,Decrease,Excluded
testmut,68,-1.6,0.03999999999999998,3.5166410041134115e-16,0.43,77,0,0,10000000,0,10000000,0,1,0,0.009900990099009901,Decrease,Excluded
testmut,69,-1.2,0.03999999999999998,8.833402822722709e-16,0.43,77,0,0,10000000,0,10000000,0,1,0,0.009900990099009901,Decrease,Excluded
testmut,70,-0.7999999999999998,0.03999999999999998,2.2188504694455602e-15,0.43,77,0,0,10000000,0,10000000,0,1,0,0.009900990099009901,Decrease,Excluded
testmut,71,-0.3999999999999999,0.03999999999999998,5.573500387748963e-15,0.43,77,0,0,10000000,0,10000000,0,1,0,0.009900990099009901,Decrease,Excluded
testmut,72,0,0.03999999999999998,1.4e-14,0.43,77,0,0,10000000,0,10000000,0,1,0,0.009900990099009901,Decrease,Excluded
testmut,73,0.4000000000000003,0.03999999999999998,3.5166410041134154e-14,0.43,308,0,10000000,0,0,0,10000000,0,1,0.009900990099009901,Increase,Displaced
testmut,74,0.8000000000000003,0.03999999999999998,8.833402822722711e-14,0.43,231,0,0,0,10000000,0,10000000,0,1,0.009900990099009901,Increase,Displaced
testmut,75,1.2000000000000002,0.03999999999999998,2.21885046944556e-13,0.43,231,0,0,0,10000000,0,10000000,0,1,0.009900990099009901,Increase,Displaced
testmut,76,1.6,0.03999999999999998,5.573500387748963e-13,0.43,231,0,0,0,10000000,0,10000000,0,1,0.009900990099009901,Increase,Displaced
testmut,77,2,0.03999999999999998,1.4e-12,0.43,231,0,0,0,10000000,0,10000000,0,1,0.009900990099009901,Increase,Displaced
testmut,78,-2,0.08000000000000002,1.4e-16,0.47,77,0,0,10000000,0,10000000,0,1,0,0.009900990099009901,Decrease,Excluded
testmut,79,-1.6,0.08000000000000002,3.5166410041134115e-16,0.47,77,0,0,10000000,0,10000000,0,1,0,0.009900990099009901,Decrease,Excluded
testmut,80,-1.2,0.08000000000000002,8.833402822722709e-16,0.47,77,0,0,10000000,0,10000000,0,1,0,0.009900990099009901,Decrease,Excluded
testmut,81,-0.7999999999999998,0.08000000000000002,2.2188504694455602e-15,0.47,77,0,0,10000000,0,10000000,0,1,0,0.009900990099009901,Decrease,Excluded
testmut,82,-0.3999999999999999,0.08000000000000002,5.573500387748963e-15,0.47,77,0,0,10000000,0,10000000,0,1,0,0.009900990099009901,Decrease,Excluded
testmut,83,0,0.08000000000000002,1.4e-14,0.47,77,0,0,10000000,0,10000000,0,1,0,0.009900990099009901,Decrease,Excluded
testmut,84,0.4000000000000003,0.08000000000000002,3.5166410041134154e-14,0.47,308,0,10000000,0,0,0,10000000,0,1,0.009900990099009901,Increase,Displaced
