Strain,gr_mean,gr_sd,n,gr_se
Anc,0.48526903573311464,0.16891331681274313,6,0.06895857282538329
F,0.5352554675483531,0.09535448427935968,6,0.038928305195111895
Mut,0.6799982517476981,0.05168950288384104,6,0.021102151187255024
