...1,Time,Cycle,Phase,Cell_types,Density,Host,Genotype,Genotype_plot
48,0.06,1,conj,F2,10209729.3796112,nalR,Plasmid-free,Plasmid-free
50,0.07,1,conj,A1,102027.292591701,rifR,Ancestor,Ancestor
51,0.07,1,conj,M1,10273447.8140991,rifR,Mutant,Mutant
52,0.07,1,conj,F1,0,rifR,Plasmid-free,Plasmid-free
53,0.07,1,conj,A2,0,nalR,Ancestor,Ancestor
54,0.07,1,conj,M2,0,nalR,Mutant,Mutant
55,0.07,1,conj,F2,10245109.3616646,nalR,Plasmid-free,Plasmid-free
57,0.08,1,conj,A1,102320.240732965,rifR,Ancestor,Ancestor
58,0.08,1,conj,M1,10313117.3585087,rifR,Mutant,Mutant
59,0.08,1,conj,F1,0,rifR,Plasmid-free,Plasmid-free
60,0.08,1,conj,A2,0,nalR,Ancestor,Ancestor
61,0.08,1,conj,M2,0,nalR,Mutant,Mutant
62,0.08,1,conj,F2,10280611.9198938,nalR,Plasmid-free,Plasmid-free
64,0.09,1,conj,A1,102614.029788361,rifR,Ancestor,Ancestor
65,0.09,1,conj,M1,10352940.0517694,rifR,Mutant,Mutant
66,0.09,1,conj,F1,0,rifR,Plasmid-free,Plasmid-free
67,0.09,1,conj,A2,0,nalR,Ancestor,Ancestor
68,0.09,1,conj,M2,0,nalR,Mutant,Mutant
69,0.09,1,conj,F2,10316237.4787762,nalR,Plasmid-free,Plasmid-free
71,0.1,1,conj,A1,102908.662170279,rifR,Ancestor,Ancestor
72,0.1,1,conj,M1,10392916.4849007,rifR,Mutant,Mutant
73,0.1,1,conj,F1,0,rifR,Plasmid-free,Plasmid-free
74,0.1,1,conj,A2,0,nalR,Ancestor,Ancestor
75,0.1,1,conj,M2,0,nalR,Mutant,Mutant
76,0.1,1,conj,F2,10351986.464258,nalR,Plasmid-free,Plasmid-free
78,0.11,1,conj,A1,103204.140298019,rifR,Ancestor,Ancestor
79,0.11,1,conj,M1,10433047.2512012,rifR,Mutant,Mutant
80,0.11,1,conj,F1,0,rifR,Plasmid-free,Plasmid-free
81,0.11,1,conj,A2,1.08338564124256,nalR,Ancestor,Ancestor
82,0.11,1,conj,M2,0,nalR,Mutant,Mutant
83,0.11,1,conj,F2,10387859.3037589,nalR,Plasmid-free,Plasmid-free
85,0.12,1,conj,A1,103500.466597811,rifR,Ancestor,Ancestor
86,0.12,1,conj,M1,10473332.9462573,rifR,Mutant,Mutant
87,0.12,1,conj,F1,0,rifR,Plasmid-free,Plasmid-free
88,0.12,1,conj,A2,1.18733377931904,nalR,Ancestor,Ancestor
89,0.12,1,conj,M2,0,nalR,Mutant,Mutant
90,0.12,1,conj,F2,10423856.4261772,nalR,Plasmid-free,Plasmid-free
92,0.13,1,conj,A1,103797.643502835,rifR,Ancestor,Ancestor
93,0.13,1,conj,M1,10513774.1679519,rifR,Mutant,Mutant
94,0.13,1,conj,F1,0,rifR,Plasmid-free,Plasmid-free
95,0.13,1,conj,A2,1.29222026721162,nalR,Ancestor,Ancestor
96,0.13,1,conj,M2,0,nalR,Mutant,Mutant
97,0.13,1,conj,F2,10459978.2618949,nalR,Plasmid-free,Plasmid-free
99,0.14,1,conj,A1,104095.673453242,rifR,Ancestor,Ancestor
100,0.14,1,conj,M1,10554371.5164733,rifR,Mutant,Mutant
101,0.14,1,conj,F1,0,rifR,Plasmid-free,Plasmid-free
102,0.14,1,conj,A2,1.39805185849716,nalR,Ancestor,Ancestor
103,0.14,1,conj,M2,0,nalR,Mutant,Mutant
104,0.14,1,conj,F2,10496225.2427832,nalR,Plasmid-free,Plasmid-free
106,0.15,1,conj,A1,104394.558896172,rifR,Ancestor,Ancestor
107,0.15,1,conj,M1,10595125.5943244,rifR,Mutant,Mutant
108,0.15,1,conj,F1,0,rifR,Plasmid-free,Plasmid-free
109,0.15,1,conj,A2,1.50483535188432,nalR,Ancestor,Ancestor
110,0.15,1,conj,M2,0,nalR,Mutant,Mutant
111,0.15,1,conj,F2,10532597.802207,nalR,Plasmid-free,Plasmid-free
113,0.16,1,conj,A1,104694.302285775,rifR,Ancestor,Ancestor
114,0.16,1,conj,M1,10636037.0063311,rifR,Mutant,Mutant
115,0.16,1,conj,F1,0,rifR,Plasmid-free,Plasmid-free
116,0.16,1,conj,A2,1.61257759150623,nalR,Ancestor,Ancestor
117,0.16,1,conj,M2,0,nalR,Mutant,Mutant
118,0.16,1,conj,F2,10569096.3750306,nalR,Plasmid-free,Plasmid-free
120,0.17,1,conj,A1,104994.90608323,rifR,Ancestor,Ancestor
121,0.17,1,conj,M1,10677106.3596516,rifR,Mutant,Mutant
122,0.17,1,conj,F1,0,rifR,Plasmid-free,Plasmid-free
123,0.17,1,conj,A2,1.72128546721507,nalR,Ancestor,Ancestor
124,0.17,1,conj,M2,0,nalR,Mutant,Mutant
125,0.17,1,conj,F2,10605721.3976226,nalR,Plasmid-free,Plasmid-free
127,0.18,1,conj,A1,105296.372756768,rifR,Ancestor,Ancestor
128,0.18,1,conj,M1,10718334.2637851,rifR,Mutant,Mutant
129,0.18,1,conj,F1,0,rifR,Plasmid-free,Plasmid-free
130,0.18,1,conj,A2,1.83096591487853,nalR,Ancestor,Ancestor
131,0.18,1,conj,M2,0,nalR,Mutant,Mutant
132,0.18,1,conj,F2,10642473.3078611,nalR,Plasmid-free,Plasmid-free
134,0.19,1,conj,A1,105598.704781687,rifR,Ancestor,Ancestor
135,0.19,1,conj,M1,10759721.3305813,rifR,Mutant,Mutant
136,0.19,1,conj,F1,0,rifR,Plasmid-free,Plasmid-free
137,0.19,1,conj,A2,1.94162591667814,nalR,Ancestor,Ancestor
138,0.19,1,conj,M2,0,nalR,Mutant,Mutant
