"","Time","Cycle","Phase","Cell_types","Density","Host","Genotype"
"103",0.14,1,"conj","M2",0,"2","M"
"104",0.14,1,"conj","F2",10496225.2427832,"2","F"
"105",0.14,1,"conj","C",998945305.96055,"C","C"
"106",0.15,1,"conj","A1",104394.558896172,"1","A"
"107",0.15,1,"conj","M1",10595125.5943244,"1","M"
"108",0.15,1,"conj","F1",0,"1","F"
"109",0.15,1,"conj","A2",1.50483535188432,"2","A"
"110",0.15,1,"conj","M2",0,"2","M"
"111",0.15,1,"conj","F2",10532597.802207,"2","F"
"112",0.15,1,"conj","C",998867880.314887,"C","C"
"113",0.16,1,"conj","A1",104694.302285775,"1","A"
"114",0.16,1,"conj","M1",10636037.0063311,"1","M"
"115",0.16,1,"conj","F1",0,"1","F"
"116",0.16,1,"conj","A2",1.61257759150623,"2","A"
"117",0.16,1,"conj","M2",0,"2","M"
"118",0.16,1,"conj","F2",10569096.3750306,"2","F"
"119",0.16,1,"conj","C",998790170.462588,"C","C"
"120",0.17,1,"conj","A1",104994.90608323,"1","A"
"121",0.17,1,"conj","M1",10677106.3596516,"1","M"
"122",0.17,1,"conj","F1",0,"1","F"
"123",0.17,1,"conj","A2",1.72128546721507,"2","A"
"124",0.17,1,"conj","M2",0,"2","M"
"125",0.17,1,"conj","F2",10605721.3976226,"2","F"
"126",0.17,1,"conj","C",998712175.357657,"C","C"
"127",0.18,1,"conj","A1",105296.372756768,"1","A"
"128",0.18,1,"conj","M1",10718334.2637851,"1","M"
"129",0.18,1,"conj","F1",0,"1","F"
"130",0.18,1,"conj","A2",1.83096591487853,"2","A"
"131",0.18,1,"conj","M2",0,"2","M"
"132",0.18,1,"conj","F2",10642473.3078611,"2","F"
"133",0.18,1,"conj","C",998633893.95024,"C","C"
"134",0.19,1,"conj","A1",105598.704781687,"1","A"
"135",0.19,1,"conj","M1",10759721.3305813,"1","M"
"136",0.19,1,"conj","F1",0,"1","F"
"137",0.19,1,"conj","A2",1.94162591667814,"2","A"
"138",0.19,1,"conj","M2",0,"2","M"
"139",0.19,1,"conj","F2",10679352.5451391,"2","F"
"140",0.19,1,"conj","C",998555325.18661,"C","C"
"141",0.2,1,"conj","A1",105901.904640378,"1","A"
"142",0.2,1,"conj","M1",10801268.1742487,"1","M"
"143",0.2,1,"conj","F1",0,"1","F"
"144",0.2,1,"conj","A2",2.05327250140958,"2","A"
"145",0.2,1,"conj","M2",0,"2","M"
"146",0.2,1,"conj","F2",10716359.5503695,"2","F"
"147",0.2,1,"conj","C",998476468.009155,"C","C"
"148",0.21,1,"conj","A1",106205.97482234,"1","A"
"149",0.21,1,"conj","M1",10842975.4113644,"1","M"
"150",0.21,1,"conj","F1",0,"1","F"
"151",0.21,1,"conj","A2",2.16591274478478,"2","A"
"152",0.21,1,"conj","M2",0,"2","M"
"153",0.21,1,"conj","F2",10753494.7659905,"2","F"
"154",0.21,1,"conj","C",998397321.356361,"C","C"
"155",0.22,1,"conj","A1",106510.917824205,"1","A"
"156",0.22,1,"conj","M1",10884843.6608829,"1","M"
"157",0.22,1,"conj","F1",0,"1","F"
"158",0.22,1,"conj","A2",2.27955376973611,"2","A"
"159",0.22,1,"conj","M2",0,"2","M"
"160",0.22,1,"conj","F2",10790758.6359708,"2","F"
"161",0.22,1,"conj","C",998317884.1628,"C","C"
"162",0.23,1,"conj","A1",106816.736149753,"1","A"
"163",0.23,1,"conj","M1",10926873.5441452,"1","M"
"164",0.23,1,"conj","F1",0,"1","F"
"165",0.23,1,"conj","A2",2.39420274672239,"2","A"
"166",0.23,1,"conj","M2",0,"2","M"
"167",0.23,1,"conj","F2",10828151.6058148,"2","F"
"168",0.23,1,"conj","C",998238155.359115,"C","C"
"169",0.24,1,"conj","A1",107123.432309939,"1","A"
"170",0.24,1,"conj","M1",10969065.684888,"1","M"
"171",0.24,1,"conj","F1",0,"1","F"
"172",0.24,1,"conj","A2",2.50986689403694,"2","A"
"173",0.24,1,"conj","M2",0,"2","M"
"174",0.24,1,"conj","F2",10865674.1225683,"2","F"
"175",0.24,1,"conj","C",998158133.872002,"C","C"
"176",0.25,1,"conj","A1",107431.008822907,"1","A"
"177",0.25,1,"conj","M1",11011420.709253,"1","M"
"178",0.25,1,"conj","F1",0,"1","F"
"179",0.25,1,"conj","A2",2.62655347811754,"2","A"
"180",0.25,1,"conj","M2",0,"2","M"
"181",0.25,1,"conj","F2",10903326.6348231,"2","F"
"182",0.25,1,"conj","C",998077818.624201,"C","C"
"183",0.26,1,"conj","A1",107739.468214014,"1","A"
"184",0.26,1,"conj","M1",11053939.2457963,"1","M"
"185",0.26,1,"conj","F1",0,"1","F"
"186",0.26,1,"conj","A2",2.7442698138584,"2","A"
"187",0.26,1,"conj","M2",0,"2","M"
"188",0.26,1,"conj","F2",10941109.592723,"2","F"
"189",0.26,1,"conj","C",997997208.534478,"C","C"
"190",0.27,1,"conj","A1",108048.813015852,"1","A"
"191",0.27,1,"conj","M1",11096621.9254973,"1","M"
"192",0.27,1,"conj","F1",0,"1","F"
"193",0.27,1,"conj","A2",2.86302326492415,"2","A"
"194",0.27,1,"conj","M2",0,"2","M"
"195",0.27,1,"conj","F2",10979023.4479688,"2","F"
"196",0.27,1,"conj","C",997916302.517611,"C","C"
"197",0.28,1,"conj","A1",108359.045768264,"1","A"
"198",0.28,1,"conj","M1",11139469.3817684,"1","M"
"199",0.28,1,"conj","F1",0,"1","F"
"200",0.28,1,"conj","A2",2.98282124406579,"2","A"
"201",0.28,1,"conj","M2",0,"2","M"
