"","Time","A1","M1","F1","A2","M2","F2","C","Phase","Type","Cycle"
"1",0,1e+05,1e+07,0,0,0,1e+07,1e+09,"conj","start",1
"501",5,419135.413917025,68635119.4951204,0,525.791511543591,126.759851216234,56349425.8470699,894695666.692529,"conj","end",1
"11",5,0,0,0,262,63,0,1e+09,"tselect","start",1
"2",77,0,0,0,2254733.21858864,7745266.78141136,0,1e+09,"tselect","end",1
