"","Time","Cycle","Phase","Cell_types","Density","Host","Genotype"
"104",0.14,1,"conj","F2",10496226.6556683,"2","F"
"105",0.14,1,"conj","C",998949401.567561,"C","C"
"106",0.15,1,"conj","A1",1.04394558986638,"1","A"
"107",0.15,1,"conj","M1",10595125.6066598,"1","M"
"108",0.15,1,"conj","F1",0,"1","F"
"109",0.15,1,"conj","A2",0,"2","A"
"110",0.15,1,"conj","M2",0,"2","M"
"111",0.15,1,"conj","F2",10532599.3242345,"2","F"
"112",0.15,1,"conj","C",998872274.800295,"C","C"
"113",0.16,1,"conj","A1",1.04694302389572,"1","A"
"114",0.16,1,"conj","M1",10636037.0204981,"1","M"
"115",0.16,1,"conj","F1",0,"1","F"
"116",0.16,1,"conj","A2",0,"2","A"
"117",0.16,1,"conj","M2",0,"2","M"
"118",0.16,1,"conj","F2",10569098.0073444,"2","F"
"119",0.16,1,"conj","C",998794864.684012,"C","C"
"120",0.17,1,"conj","A1",1.0499490620133,"1","A"
"121",0.17,1,"conj","M1",10677106.3757867,"1","M"
"122",0.17,1,"conj","F1",0,"1","F"
"123",0.17,1,"conj","A2",0,"2","A"
"124",0.17,1,"conj","M2",0,"2","M"
"125",0.17,1,"conj","F2",10605723.1413759,"2","F"
"126",0.17,1,"conj","C",998717170.175171,"C","C"
"127",0.18,1,"conj","A1",1.05296372890154,"1","A"
"128",0.18,1,"conj","M1",10718334.2820267,"1","M"
"129",0.18,1,"conj","F1",0,"1","F"
"130",0.18,1,"conj","A2",0,"2","A"
"131",0.18,1,"conj","M2",0,"2","M"
"132",0.18,1,"conj","F2",10642475.1642164,"2","F"
"133",0.18,1,"conj","C",998639190.226384,"C","C"
"134",0.19,1,"conj","A1",1.05598704931353,"1","A"
"135",0.19,1,"conj","M1",10759721.3510694,"1","M"
"136",0.19,1,"conj","F1",0,"1","F"
"137",0.19,1,"conj","A2",0,"2","A"
"138",0.19,1,"conj","M2",0,"2","M"
"139",0.19,1,"conj","F2",10679354.5152681,"2","F"
"140",0.19,1,"conj","C",998560923.786394,"C","C"
"141",0.2,1,"conj","A1",1.05901904807329,"1","A"
"142",0.2,1,"conj","M1",10801268.1971256,"1","M"
"143",0.2,1,"conj","F1",0,"1","F"
"144",0.2,1,"conj","A2",0,"2","A"
"145",0.2,1,"conj","M2",0,"2","M"
"146",0.2,1,"conj","F2",10716361.6354535,"2","F"
"147",0.2,1,"conj","C",998482369.800067,"C","C"
"148",0.21,1,"conj","A1",1.06205975007592,"1","A"
"149",0.21,1,"conj","M1",10842975.4367742,"1","M"
"150",0.21,1,"conj","F1",0,"1","F"
"151",0.21,1,"conj","A2",0,"2","A"
"152",0.21,1,"conj","M2",0,"2","M"
"153",0.21,1,"conj","F2",10753496.9672202,"2","F"
"154",0.21,1,"conj","C",998403527.208375,"C","C"
"155",0.22,1,"conj","A1",1.06510918028785,"1","A"
"156",0.22,1,"conj","M1",10884843.6889715,"1","M"
"157",0.22,1,"conj","F1",0,"1","F"
"158",0.22,1,"conj","A2",0,"2","A"
"159",0.22,1,"conj","M2",0,"2","M"
"160",0.22,1,"conj","F2",10790760.9545465,"2","F"
"161",0.22,1,"conj","C",998324394.948382,"C","C"
"162",0.23,1,"conj","A1",1.06816736374701,"1","A"
"163",0.23,1,"conj","M1",10926873.5750607,"1","M"
"164",0.23,1,"conj","F1",0,"1","F"
"165",0.23,1,"conj","A2",0,"2","A"
"166",0.23,1,"conj","M2",0,"2","M"
"167",0.23,1,"conj","F2",10828154.0429464,"2","F"
"168",0.23,1,"conj","C",998244971.953229,"C","C"
"169",0.24,1,"conj","A1",1.07123432556304,"1","A"
"170",0.24,1,"conj","M1",10969065.7187804,"1","M"
"171",0.24,1,"conj","F1",0,"1","F"
"172",0.24,1,"conj","A2",0,"2","A"
"173",0.24,1,"conj","M2",0,"2","M"
"174",0.24,1,"conj","F2",10865676.6794752,"2","F"
"175",0.24,1,"conj","C",998165257.152119,"C","C"
"176",0.25,1,"conj","A1",1.07431009091752,"1","A"
"177",0.25,1,"conj","M1",11011420.7462745,"1","M"
"178",0.25,1,"conj","F1",0,"1","F"
"179",0.25,1,"conj","A2",0,"2","A"
"180",0.25,1,"conj","M2",0,"2","M"
"181",0.25,1,"conj","F2",10903329.3127348,"2","F"
"182",0.25,1,"conj","C",998085249.470307,"C","C"
"183",0.26,1,"conj","A1",1.07739468506412,"1","A"
"184",0.26,1,"conj","M1",11053939.2861009,"1","M"
"185",0.26,1,"conj","F1",0,"1","F"
"186",0.26,1,"conj","A2",0,"2","A"
"187",0.26,1,"conj","M2",0,"2","M"
"188",0.26,1,"conj","F2",10941112.3928786,"2","F"
"189",0.26,1,"conj","C",998004947.829079,"C","C"
"190",0.27,1,"conj","A1",1.08048813332888,"1","A"
"191",0.27,1,"conj","M1",11096621.9692412,"1","M"
"192",0.27,1,"conj","F1",0,"1","F"
"193",0.27,1,"conj","A2",0,"2","A"
"194",0.27,1,"conj","M2",0,"2","M"
"195",0.27,1,"conj","F2",10979026.3716175,"2","F"
"196",0.27,1,"conj","C",997924351.145741,"C","C"
"197",0.28,1,"conj","A1",1.08359046111036,"1","A"
"198",0.28,1,"conj","M1",11139469.4291099,"1","M"
"199",0.28,1,"conj","F1",0,"1","F"
"200",0.28,1,"conj","A2",0,"2","A"
"201",0.28,1,"conj","M2",0,"2","M"
"202",0.28,1,"conj","F2",11017071.7022248,"2","F"
"203",0.28,1,"conj","C",997843458.333603,"C","C"
"204",0.29,1,"conj","A1",1.08670169387984,"1","A"
"205",0.29,1,"conj","M1",11182482.3015637,"1","M"
"206",0.29,1,"conj","F1",0,"1","F"
"207",0.29,1,"conj","A2",0,"2","A"
"208",0.29,1,"conj","M2",0,"2","M"
"209",0.29,1,"conj","F2",11055248.8395417,"2","F"
"210",0.29,1,"conj","C",997762268.301965,"C","C"
"211",0.3,1,"conj","A1",1.0898218571816,"1","A"
"212",0.3,1,"conj","M1",11225661.2249108,"1","M"
"213",0.3,1,"conj","F1",0,"1","F"
"214",0.3,1,"conj","A2",0,"2","A"
"215",0.3,1,"conj","M2",0,"2","M"
"216",0.3,1,"conj","F2",11093558.2399828,"2","F"
"217",0.3,1,"conj","C",997680779.956104,"C","C"
"218",0.31,1,"conj","A1",1.09295097663305,"1","A"
"219",0.31,1,"conj","M1",11269006.8399208,"1","M"
"220",0.31,1,"conj","F1",0,"1","F"
"221",0.31,1,"conj","A2",0,"2","A"
"222",0.31,1,"conj","M2",0,"2","M"
"223",0.31,1,"conj","F2",11132000.3615415,"2","F"
"224",0.31,1,"conj","C",997598992.197255,"C","C"
"225",0.32,1,"conj","A1",1.09608907792497,"1","A"
"226",0.32,1,"conj","M1",11312519.7898336,"1","M"
"227",0.32,1,"conj","F1",0,"1","F"
"228",0.32,1,"conj","A2",0,"2","A"
"229",0.32,1,"conj","M2",0,"2","M"
"230",0.32,1,"conj","F2",11170575.6637955,"2","F"
