...1,Time,Cycle,Phase,Cell_types,Density,Host,Genotype,Genotype_plot
92,0.13,1,conj,A1,1.03797643569512,rifR,Ancestor,Ancestor
93,0.13,1,conj,M1,10513774.1770256,rifR,Mutant,Mutant
94,0.13,1,conj,F1,0,rifR,Plasmid-free,Plasmid-free
95,0.13,1,conj,A2,0,nalR,Ancestor,Ancestor
96,0.13,1,conj,M2,0,nalR,Mutant,Mutant
97,0.13,1,conj,F2,10459979.5667724,nalR,Plasmid-free,Plasmid-free
99,0.14,1,conj,A1,1.04095673531338,rifR,Ancestor,Ancestor
100,0.14,1,conj,M1,10554371.5271115,rifR,Mutant,Mutant
101,0.14,1,conj,F1,0,rifR,Plasmid-free,Plasmid-free
102,0.14,1,conj,A2,0,nalR,Ancestor,Ancestor
103,0.14,1,conj,M2,0,nalR,Mutant,Mutant
104,0.14,1,conj,F2,10496226.6556683,nalR,Plasmid-free,Plasmid-free
106,0.15,1,conj,A1,1.04394558986638,rifR,Ancestor,Ancestor
107,0.15,1,conj,M1,10595125.6066598,rifR,Mutant,Mutant
108,0.15,1,conj,F1,0,rifR,Plasmid-free,Plasmid-free
109,0.15,1,conj,A2,0,nalR,Ancestor,Ancestor
110,0.15,1,conj,M2,0,nalR,Mutant,Mutant
111,0.15,1,conj,F2,10532599.3242345,nalR,Plasmid-free,Plasmid-free
113,0.16,1,conj,A1,1.04694302389572,rifR,Ancestor,Ancestor
114,0.16,1,conj,M1,10636037.0204981,rifR,Mutant,Mutant
115,0.16,1,conj,F1,0,rifR,Plasmid-free,Plasmid-free
116,0.16,1,conj,A2,0,nalR,Ancestor,Ancestor
117,0.16,1,conj,M2,0,nalR,Mutant,Mutant
118,0.16,1,conj,F2,10569098.0073444,nalR,Plasmid-free,Plasmid-free
120,0.17,1,conj,A1,1.0499490620133,rifR,Ancestor,Ancestor
121,0.17,1,conj,M1,10677106.3757867,rifR,Mutant,Mutant
122,0.17,1,conj,F1,0,rifR,Plasmid-free,Plasmid-free
123,0.17,1,conj,A2,0,nalR,Ancestor,Ancestor
124,0.17,1,conj,M2,0,nalR,Mutant,Mutant
125,0.17,1,conj,F2,10605723.1413759,nalR,Plasmid-free,Plasmid-free
127,0.18,1,conj,A1,1.05296372890154,rifR,Ancestor,Ancestor
128,0.18,1,conj,M1,10718334.2820267,rifR,Mutant,Mutant
129,0.18,1,conj,F1,0,rifR,Plasmid-free,Plasmid-free
130,0.18,1,conj,A2,0,nalR,Ancestor,Ancestor
131,0.18,1,conj,M2,0,nalR,Mutant,Mutant
132,0.18,1,conj,F2,10642475.1642164,nalR,Plasmid-free,Plasmid-free
134,0.19,1,conj,A1,1.05598704931353,rifR,Ancestor,Ancestor
135,0.19,1,conj,M1,10759721.3510694,rifR,Mutant,Mutant
136,0.19,1,conj,F1,0,rifR,Plasmid-free,Plasmid-free
137,0.19,1,conj,A2,0,nalR,Ancestor,Ancestor
138,0.19,1,conj,M2,0,nalR,Mutant,Mutant
139,0.19,1,conj,F2,10679354.5152681,nalR,Plasmid-free,Plasmid-free
141,0.2,1,conj,A1,1.05901904807329,rifR,Ancestor,Ancestor
142,0.2,1,conj,M1,10801268.1971256,rifR,Mutant,Mutant
143,0.2,1,conj,F1,0,rifR,Plasmid-free,Plasmid-free
144,0.2,1,conj,A2,0,nalR,Ancestor,Ancestor
145,0.2,1,conj,M2,0,nalR,Mutant,Mutant
146,0.2,1,conj,F2,10716361.6354535,nalR,Plasmid-free,Plasmid-free
148,0.21,1,conj,A1,1.06205975007592,rifR,Ancestor,Ancestor
149,0.21,1,conj,M1,10842975.4367742,rifR,Mutant,Mutant
150,0.21,1,conj,F1,0,rifR,Plasmid-free,Plasmid-free
151,0.21,1,conj,A2,0,nalR,Ancestor,Ancestor
152,0.21,1,conj,M2,0,nalR,Mutant,Mutant
153,0.21,1,conj,F2,10753496.9672202,nalR,Plasmid-free,Plasmid-free
155,0.22,1,conj,A1,1.06510918028785,rifR,Ancestor,Ancestor
156,0.22,1,conj,M1,10884843.6889715,rifR,Mutant,Mutant
157,0.22,1,conj,F1,0,rifR,Plasmid-free,Plasmid-free
158,0.22,1,conj,A2,0,nalR,Ancestor,Ancestor
159,0.22,1,conj,M2,0,nalR,Mutant,Mutant
160,0.22,1,conj,F2,10790760.9545465,nalR,Plasmid-free,Plasmid-free
162,0.23,1,conj,A1,1.06816736374701,rifR,Ancestor,Ancestor
163,0.23,1,conj,M1,10926873.5750607,rifR,Mutant,Mutant
164,0.23,1,conj,F1,0,rifR,Plasmid-free,Plasmid-free
165,0.23,1,conj,A2,0,nalR,Ancestor,Ancestor
166,0.23,1,conj,M2,0,nalR,Mutant,Mutant
