Genotype,Growth_rate_mean,Growth_rate_sd,Conjugation_rate_mean,Conjugation_rate_sd,n,Growth_rate_se,Conjugation_rate_se
Anc,0.2189609716932112,0.15332393400357427,2.44e-12,1.8812761626087755e-12,3,0.08852161457017603,1.0861552989022027e-12
Mut,0.4361892419808773,0.06874283310864458,1.66e-14,1.6302282048842118e-14,3,0.03968869320013347,9.412126929304201e-15
