Day,Genotype,Growth_rate,Conjugation_rate
2025-07-23,Anc,0.3697024612332553,1.56e-12
2025-07-23,Mut,0.48082744068015354,3.53e-14
2025-08-25,Anc,0.22400155222484658,1.16e-12
2025-08-25,Mut,0.3570269326896295,9.12e-15
2025-09-11,Anc,0.06317890162153167,4.6e-12
2025-09-11,Mut,0.47071335257284874,5.38e-15
