Genotype,Growth_rate_mean,Growth_rate_sd,n.x,Growth_rate_se,Conjugation_rate_mean,Conjugation_rate_sd,n.y,Conjugation_rate_se
Anc,0.4762348043112843,0.03228095338433731,3,0.01863741712614491,2.4399999999999997e-12,1.8812761626087755e-12,3,1.0861552989022027e-12
F,0.6067661478458853,0.02575613070147614,3,0.01487030899378043,NA,NA,NA,NA
Mut,0.6232877681913959,0.0439957700332282,3,0.02540096967188917,1.66e-14,1.6302282048842118e-14,3,9.412126929304201e-15
