Cycle,Phase,Time,Ratio_type,Ratio
1,growth,0,Ancestor:Mutant,0.001
1,growth,0,Mutant:Ancestor,1000
1,growth,24,Ancestor:Mutant,3.0678444885806334e-4
1,growth,24,Mutant:Ancestor,3259.617636168576
1,growth,24,Ancestor:Mutant,3.067844488580634e-4
1,growth,24,Mutant:Ancestor,3259.6176361685757
1,growth,48,Ancestor:Mutant,5.244015326788869e-5
1,growth,48,Mutant:Ancestor,19069.3569275348
1,growth,48,Ancestor:Mutant,5.2440153267888696e-5
1,growth,48,Mutant:Ancestor,19069.3569275348
1,growth,72,Ancestor:Mutant,8.943833381053427e-6
1,growth,72,Mutant:Ancestor,111808.88075558239
1,growth,72,Ancestor:Mutant,8.943833381053427e-6
1,growth,72,Mutant:Ancestor,111808.8807555824
1,growth,96,Ancestor:Mutant,1.5254095479347198e-6
1,growth,96,Mutant:Ancestor,655561.6498886601
1,growth,96,Ancestor:Mutant,1.52540954793472e-6
1,growth,96,Mutant:Ancestor,655561.64988866
1,growth,120,Ancestor:Mutant,2.6016561919017655e-7
1,growth,120,Mutant:Ancestor,3843705.417774734
1,growth,120,Ancestor:Mutant,2.601656191901766e-7
1,growth,120,Mutant:Ancestor,3843705.4177747336
1,growth,144,Ancestor:Mutant,4.437245570393013e-8
1,growth,144,Mutant:Ancestor,22536503.426188074
1,growth,144,Ancestor:Mutant,0
1,growth,144,Mutant:Ancestor,Inf
1,growth,168,Ancestor:Mutant,0
1,growth,168,Mutant:Ancestor,Inf
1,conj,168,Ancestor:Mutant,0
1,conj,168,Mutant:Ancestor,Inf
1,conj,175,Ancestor:Mutant,0
1,conj,175,Mutant:Ancestor,Inf
1,tselect,175,Ancestor:Mutant,0
1,tselect,175,Mutant:Ancestor,Inf
1,tselect,206.179999999972,Ancestor:Mutant,0
1,tselect,206.179999999972,Mutant:Ancestor,Inf
