SetID,SweepID,gamma_M,psi_M,end_time,A1,M1,F1,A2,M2,F2,C,log_gamma_M,Anc,Mut,Anc_freq,Mut_freq,Mut_freq0,Mut_freq_change,Mut_freq_inv,log_Mut_freq0,log_Mut_freq_change,log_Mut_freq_change2
pDG_S.pB10,1,1.5600000000000014e-16,0.07599999999999996,48,1001000999.9995984,0,0,0,0,0,0,-15.806875401645538,1001000999.9995984,0,1,0,1.9999996000000803e-07,-1.9999996000000803e-07,Decrease,-6.698970091194907,-Inf,NA
pDG_S.pB10,2,2.271903624901943e-16,0.07599999999999996,48,1001000999.9995984,0,0,0,0,0,0,-15.643610095523089,1001000999.9995984,0,1,0,1.9999996000000803e-07,-1.9999996000000803e-07,Decrease,-6.698970091194907,-Inf,NA
pDG_S.pB10,3,3.3086833851555043e-16,0.07599999999999996,48,1001000999.9995984,0,0,0,0,0,0,-15.48034478940064,1001000999.9995984,0,1,0,1.9999996000000803e-07,-1.9999996000000803e-07,Decrease,-6.698970091194907,-Inf,NA
pDG_S.pB10,4,4.818596010504882e-16,0.07599999999999996,48,1001000999.9995984,0,0,0,0,0,0,-15.31707948327819,1001000999.9995984,0,1,0,1.9999996000000803e-07,-1.9999996000000803e-07,Decrease,-6.698970091194907,-Inf,NA
pDG_S.pB10,5,7.0175549635923565e-16,0.07599999999999996,48,1001000999.9995984,0,0,0,0,0,0,-15.153814177155741,1001000999.9995984,0,1,0,1.9999996000000803e-07,-1.9999996000000803e-07,Decrease,-6.698970091194907,-Inf,NA
pDG_S.pB10,6,1.0220005487008985e-15,0.07599999999999996,48,1001000999.9995984,0,0,0,0,0,0,-14.990548871033294,1001000999.9995984,0,1,0,1.9999996000000803e-07,-1.9999996000000803e-07,Decrease,-6.698970091194907,-Inf,NA
pDG_S.pB10,7,1.4883889431059898e-15,0.07599999999999996,48,1001000999.9995984,0,0,0,0,0,0,-14.827283564910845,1001000999.9995984,0,1,0,1.9999996000000803e-07,-1.9999996000000803e-07,Decrease,-6.698970091194907,-Inf,NA
pDG_S.pB10,8,2.1676129712220946e-15,0.07599999999999996,48,1001000999.9995984,0,0,0,0,0,0,-14.664018258788396,1001000999.9995984,0,1,0,1.9999996000000803e-07,-1.9999996000000803e-07,Decrease,-6.698970091194907,-Inf,NA
pDG_S.pB10,9,3.1567998504512458e-15,0.07599999999999996,48,1001000999.9995984,0,0,0,0,0,0,-14.500752952665946,1001000999.9995984,0,1,0,1.9999996000000803e-07,-1.9999996000000803e-07,Decrease,-6.698970091194907,-Inf,NA
pDG_S.pB10,10,4.597400655980828e-15,0.07599999999999996,48,1001000999.9995984,0,0,0,0,0,0,-14.337487646543497,1001000999.9995984,0,1,0,1.9999996000000803e-07,-1.9999996000000803e-07,Decrease,-6.698970091194907,-Inf,NA
