SetID,SweepID,gamma_M,psi_M
pDim90_E.RP4,111,2.5069485157408865e-14,0.6280808080808081
pDim90_E.RP4,112,3.0196283624564005e-14,0.6280808080808081
pDim90_E.RP4,113,3.637153052844553e-14,0.6280808080808081
pDim90_E.RP4,114,4.380963728614307e-14,0.6280808080808081
pDim90_E.RP4,115,5.276886320861254e-14,0.6280808080808081
pDim90_E.RP4,116,6.356028255020527e-14,0.6280808080808081
pDim90_E.RP4,117,7.655858535157053e-14,0.6280808080808081
pDim90_E.RP4,118,9.221508709317095e-14,0.6280808080808081
pDim90_E.RP4,119,1.1107339886899647e-13,0.6280808080808081
pDim90_E.RP4,120,1.3378830216628223e-13,0.6280808080808081
pDim90_E.RP4,121,1.6114848360449818e-13,0.6280808080808081
pDim90_E.RP4,122,1.9410391900895258e-13,0.6280808080808081
pDim90_E.RP4,123,2.337988576243876e-13,0.6280808080808081
pDim90_E.RP4,124,2.81611551717033e-13,0.6280808080808081
pDim90_E.RP4,125,3.392021110209358e-13,0.6280808080808081
pDim90_E.RP4,126,4.085701435879701e-13,0.6280808080808081
pDim90_E.RP4,127,4.921241843957476e-13,0.6280808080808081
pDim90_E.RP4,128,5.927653223516444e-13,0.6280808080808081
pDim90_E.RP4,129,7.139879293151947e-13,0.6280808080808081
pDim90_E.RP4,130,8.600009885621867e-13,0.6280808080808081
pDim90_E.RP4,131,1.0358742353492076e-12,0.6280808080808081
pDim90_E.RP4,132,1.2477141837409808e-12,0.6280808080808081
pDim90_E.RP4,133,1.50287615154711e-12,0.6280808080808081
pDim90_E.RP4,134,1.81021964510899e-12,0.6280808080808081
pDim90_E.RP4,135,2.1804159711797683e-12,0.6280808080808081
pDim90_E.RP4,136,2.626318756522825e-12,0.6280808080808081
pDim90_E.RP4,137,3.1634102400797892e-12,0.6280808080808081
pDim90_E.RP4,138,3.810338833466979e-12,0.6280808080808081
pDim90_E.RP4,139,4.5895666144965e-12,0.6280808080808081
pDim90_E.RP4,140,5.528149235414554e-12,0.6280808080808081
pDim90_E.RP4,141,6.658675325135691e-12,0.6280808080808081
pDim90_E.RP4,142,8.020398002559746e-12,0.6280808080808081
pDim90_E.RP4,143,9.660597788367692e-12,0.6280808080808081
pDim90_E.RP4,144,1.1636224237105013e-11,0.6280808080808081
pDim90_E.RP4,145,1.401587328883805e-11,0.6280808080808081
pDim90_E.RP4,146,1.6882168996223952e-11,0.6280808080808081
pDim90_E.RP4,147,2.0334632323198827e-11,0.6280808080808081
pDim90_E.RP4,148,2.4493136623153682e-11,0.6280808080808081
pDim90_E.RP4,149,2.950206977463056e-11,0.6280808080808081
pDim90_E.RP4,150,3.553534748850416e-11,0.6280808080808081
pDim90_E.RP4,151,4.280245185422934e-11,0.6280808080808081
pDim90_E.RP4,152,5.155570479017516e-11,0.6280808080808081
pDim90_E.RP4,153,6.209902894030271e-11,0.6280808080808081
pDim90_E.RP4,154,7.479850020522727e-11,0.6280808080808081
pDim90_E.RP4,155,9.009505830324323e-11,0.6280808080808081
pDim90_E.RP4,156,1.08519816686078e-10,0.6280808080808081
pDim90_E.RP4,157,1.3071250338661516e-10,0.6280808080808081
pDim90_E.RP4,158,1.5744367308526557e-10,0.6280808080808081
pDim90_E.RP4,159,1.8964146162254894e-10,0.6280808080808081
pDim90_E.RP4,160,2.2842381190421044e-10,0.6280808080808081
pDim90_E.RP4,161,2.751372901180268e-10,0.6280808080808081
pDim90_E.RP4,162,3.314038400043727e-10,0.6280808080808081
pDim90_E.RP4,163,3.9917709854062077e-10,0.6280808080808081
pDim90_E.RP4,164,4.808102283824071e-10,0.6280808080808081
pDim90_E.RP4,165,5.791376222792436e-10,0.6280808080808081
pDim90_E.RP4,166,6.975733163324003e-10,0.6280808080808081
pDim90_E.RP4,167,8.402295291124364e-10,0.6280808080808081
pDim90_E.RP4,168,1.0120594424459004e-9,0.6280808080808081
pDim90_E.RP4,169,1.2190291813784127e-9,0.6280808080808081
pDim90_E.RP4,170,1.468324964649065e-9,0.6280808080808081
pDim90_E.RP4,171,1.768602618170152e-9,0.6280808080808081
pDim90_E.RP4,172,2.1302881148968933e-9,0.6280808080808081
pDim90_E.RP4,173,2.5659395761645183e-9,0.6280808080808081
pDim90_E.RP4,174,3.0906833035802847e-9,0.6280808080808081
pDim90_E.RP4,175,3.7227389809811507e-9,0.6280808080808081
pDim90_E.RP4,176,4.484052282051191e-9,0.6280808080808081
pDim90_E.RP4,177,5.401056848436115e-9,0.6280808080808081
pDim90_E.RP4,178,6.505592095080222e-9,0.6280808080808081
pDim90_E.RP4,179,7.836008710003716e-9,0.6280808080808081
pDim90_E.RP4,180,9.438500232698103e-9,0.6280808080808081
pDim90_E.RP4,181,1.1368706945018218e-8,0.6280808080808081
pDim90_E.RP4,182,1.3693647763439036e-8,0.6280808080808081
pDim90_E.RP4,183,1.6494047210119093e-8,0.6280808080808081
pDim90_E.RP4,184,1.986713825778392e-8,0.6280808080808081
pDim90_E.RP4,185,2.3930038366311404e-8,0.6280808080808081
pDim90_E.RP4,186,2.8823815930750604e-8,0.6280808080808081
pDim90_E.RP4,187,3.4718388332356556e-8,0.6280808080808081
pDim90_E.RP4,188,4.181842165840272e-8,0.6280808080808081
pDim90_E.RP4,189,5.037043693558057e-8,0.6280808080808081
pDim90_E.RP4,190,6.067136961328858e-8,0.6280808080808081
pDim90_E.RP4,191,7.307887949155515e-8,0.6280808080808081
pDim90_E.RP4,192,8.802376906572301e-8,0.6280808080808081
pDim90_E.RP4,193,1.0602494146658496e-7,0.6280808080808081
pDim90_E.RP4,194,1.2770741735223163e-7,0.6280808080808081
pDim90_E.RP4,195,1.53824036318069e-7,0.6280808080808081
pDim90_E.RP4,196,1.8528159632200947e-7,0.6280808080808081
pDim90_E.RP4,197,2.2317233871465876e-7,0.6280808080808081
pDim90_E.RP4,198,2.6881187206963886e-7,0.6280808080808081
pDim90_E.RP4,199,3.237848515714706e-7,0.6280808080808081
pDim90_E.RP4,200,3.900000000000003e-7,0.6280808080808081
pDim90_E.RP4,201,3.9000000000000034e-15,0.6361616161616162
pDim90_E.RP4,202,4.697563807009259e-15,0.6361616161616162
pDim90_E.RP4,203,5.6582322361341596e-15,0.6361616161616162
pDim90_E.RP4,204,6.815360760029969e-15,0.6361616161616162
pDim90_E.RP4,205,8.209126163596892e-15,0.6361616161616162
pDim90_E.RP4,206,9.887921526483463e-15,0.6361616161616162
