Cycle,Phase,Time,Ratio_type,Ratio
1,conj,0,Ancestor:Mutant,1000
1,conj,0,Mutant:Ancestor,0.001
1,conj,7,Ancestor:Mutant,340576.8475523457
1,conj,7,Mutant:Ancestor,2.936194891657463e-6
1,tselect,7,Ancestor:Mutant,Inf
1,tselect,7,Mutant:Ancestor,0
1,tselect,28.5800000000018,Ancestor:Mutant,Inf
1,tselect,28.5800000000018,Mutant:Ancestor,0
2,conj,28.5800000000018,Ancestor:Mutant,Inf
2,conj,28.5800000000018,Mutant:Ancestor,0
2,conj,35.5800000000018,Ancestor:Mutant,Inf
2,conj,35.5800000000018,Mutant:Ancestor,0
2,tselect,35.5800000000018,Ancestor:Mutant,Inf
2,tselect,35.5800000000018,Mutant:Ancestor,0
2,tselect,57.1499999999975,Ancestor:Mutant,Inf
2,tselect,57.1499999999975,Mutant:Ancestor,0
3,conj,57.1499999999975,Ancestor:Mutant,Inf
3,conj,57.1499999999975,Mutant:Ancestor,0
3,conj,64.1499999999975,Ancestor:Mutant,Inf
3,conj,64.1499999999975,Mutant:Ancestor,0
3,tselect,64.1499999999975,Ancestor:Mutant,Inf
3,tselect,64.1499999999975,Mutant:Ancestor,0
3,tselect,85.7300000000085,Ancestor:Mutant,Inf
3,tselect,85.7300000000085,Mutant:Ancestor,0
