SetID,SweepID,gamma_fold,psi_change,gamma_M,psi_M
testmut,1,-2,-0.2,1.4e-16,0.19
testmut,2,-1.6,-0.2,3.5166410041134115e-16,0.19
testmut,3,-1.2,-0.2,8.833402822722707e-16,0.19
testmut,4,-0.7999999999999998,-0.2,2.21885046944556e-15,0.19
testmut,5,-0.3999999999999999,-0.2,5.573500387748963e-15,0.19
testmut,6,0,-0.2,1.4e-14,0.19
testmut,7,0.40000000000000036,-0.2,3.5166410041134154e-14,0.19
testmut,8,0.8000000000000003,-0.2,8.833402822722711e-14,0.19
testmut,9,1.2000000000000002,-0.2,2.21885046944556e-13,0.19
testmut,10,1.6,-0.2,5.573500387748963e-13,0.19
testmut,11,2,-0.2,1.4e-12,0.19
testmut,12,-2,-0.16,1.4e-16,0.23
testmut,13,-1.6,-0.16,3.5166410041134115e-16,0.23
testmut,14,-1.2,-0.16,8.833402822722707e-16,0.23
testmut,15,-0.7999999999999998,-0.16,2.21885046944556e-15,0.23
testmut,16,-0.3999999999999999,-0.16,5.573500387748963e-15,0.23
testmut,17,0,-0.16,1.4e-14,0.23
testmut,18,0.40000000000000036,-0.16,3.5166410041134154e-14,0.23
testmut,19,0.8000000000000003,-0.16,8.833402822722711e-14,0.23
testmut,20,1.2000000000000002,-0.16,2.21885046944556e-13,0.23
testmut,21,1.6,-0.16,5.573500387748963e-13,0.23
testmut,22,2,-0.16,1.4e-12,0.23
testmut,23,-2,-0.12000000000000001,1.4e-16,0.27
testmut,24,-1.6,-0.12000000000000001,3.5166410041134115e-16,0.27
testmut,25,-1.2,-0.12000000000000001,8.833402822722707e-16,0.27
testmut,26,-0.7999999999999998,-0.12000000000000001,2.21885046944556e-15,0.27
testmut,27,-0.3999999999999999,-0.12000000000000001,5.573500387748963e-15,0.27
testmut,28,0,-0.12000000000000001,1.4e-14,0.27
testmut,29,0.40000000000000036,-0.12000000000000001,3.5166410041134154e-14,0.27
testmut,30,0.8000000000000003,-0.12000000000000001,8.833402822722711e-14,0.27
testmut,31,1.2000000000000002,-0.12000000000000001,2.21885046944556e-13,0.27
testmut,32,1.6,-0.12000000000000001,5.573500387748963e-13,0.27
testmut,33,2,-0.12000000000000001,1.4e-12,0.27
testmut,34,-2,-0.08000000000000002,1.4e-16,0.31
