SetID,SweepID,gamma_M,psi_M,end_time,A1,M1,A2,M2,log_gamma_M,Anc,Mut,Anc_freq,Mut_freq,Mut_freq0,Mut_freq_change,Mut_freq_inv
pLFC_S.pB10,1,1.5600000000000014e-16,0.07599999999999996,216,0,0,1000053655.232358,3.431858919452901e-20,-15.806875401645538,1000053655.232358,3.431858919452901e-20,1,3.431674792144551e-29,0.009900990099009901,-0.009900990099009901,Decrease
pLFC_S.pB10,2,2.501801240252073e-16,0.07599999999999996,216,0,0,1000053655.232358,5.503736782514924e-20,-15.601747196517334,1000053655.232358,5.503736782514924e-20,1,5.50344149408279e-29,0.009900990099009901,-0.009900990099009901,Decrease
pLFC_S.pB10,3,4.012185542132585e-16,0.07599999999999996,216,0,0,1000053655.232358,8.826446629600176e-20,-15.396618991389127,1000053655.232358,8.826446629600176e-20,1,8.825973069964323e-29,0.009900990099009901,-0.009900990099009901,Decrease
pLFC_S.pB10,4,6.434417157326109e-16,0.07599999999999996,216,0,0,1000053655.232358,1.4155139934499268e-19,-15.191490786260923,1000053655.232358,1.4155139934499268e-19,1,1.4154380477925842e-28,0.009900990099009901,-0.009900990099009901,Decrease
pLFC_S.pB10,5,1.031899540031906e-15,0.07599999999999996,216,0,0,1000053655.232358,2.2700868464367123e-19,-14.986362581132717,1000053655.232358,2.2700868464367123e-19,1,2.26996505093446e-28,0.009900990099009901,-0.009900990099009901,Decrease
pLFC_S.pB10,6,1.654876634017541e-15,0.07599999999999996,216,0,0,1000053655.232358,3.6405821709393857e-19,-14.781234376004512,1000053655.232358,3.6405821709393857e-19,1,3.640386845137337e-28,0.009900990099009901,-0.009900990099009901,Decrease
pLFC_S.pB10,7,2.6539566765700364e-15,0.07599999999999996,216,0,0,1000053655.232358,5.838473325868657e-19,-14.576106170876308,1000053655.232358,5.838473325868657e-19,1,5.838160078033127e-28,0.009900990099009901,-0.009900990099009901,Decrease
pLFC_S.pB10,8,4.256200067319365e-15,0.07599999999999996,216,0,0,1000053655.232358,9.363278006846334e-19,-14.370977965748102,1000053655.232358,9.363278006846334e-19,1,9.362775644943589e-28,0.009900990099009901,-0.009900990099009901,Decrease
pLFC_S.pB10,9,6.825747825115728e-15,0.07599999999999996,216,0,0,1000053655.232358,1.5016087330697796e-18,-14.165849760619897,1000053655.232358,1.5016087330697796e-18,1,1.5015281682270213e-27,0.009900990099009901,-0.009900990099009901,Decrease
pLFC_S.pB10,10,1.0946579727257996e-14,0.07599999999999996,216,0,0,1000053655.232358,2.408163957658721e-18,-13.960721555491691,1000053655.232358,2.408163957658721e-18,1,2.4080347539944693e-27,0.009900990099009901,-0.009900990099009901,Decrease
pLFC_S.pB10,11,1.7555235088571945e-14,0.07599999999999996,216,0,0,1000053655.232358,3.862032816954675e-18,-13.755593350363487,1000053655.232358,3.862032816954675e-18,1,3.861825609804255e-27,0.009900990099009901,-0.009900990099009901,Decrease
pLFC_S.pB10,12,2.8153659562503828e-14,0.07599999999999996,216,0,0,1000053655.232358,6.193653356652738e-18,-13.550465145235282,1000053655.232358,6.193653356652738e-18,1,6.1933210525725945e-27,0.009900990099009901,-0.009900990099009901,Decrease
