"","Time","A1","M1","F1","A2","M2","F2","C","Phase","Type","Cycle"
"1",0,10000,1e+07,0,0,0,1e+07,1e+09,"conj","start",1
"701",7,74285.7107201547,148128930.683851,0,205.888691076909,604.426598653115,112403141.369568,759402831.920571,"conj","end",1
"11",7,0,0,0,20.5888691076909,60.4426598653115,0,1e+09,"tselect","start",1
"23113",38.1400000000011,0,0,0,155290.475854027,9848169.41397691,0,989996621.141698,"tselect","end",1
"12",38.1400000000011,0,0,1e+07,155290.475854027,9848169.41397691,0,1e+09,"conj","start",2
"7011",45.1400000000011,3197.26537317301,595.253123633733,112400846.245471,1153595.89857456,145881504.980652,0,760563720.246637,"conj","end",2
"111",45.1400000000011,319.726537317301,59.5253123633733,0,0,0,0,1e+09,"tselect","start",2
"23061",75.7600000000033,2077488.37975712,7937354.54503142,0,0,0,0,989985536.327059,"tselect","end",2
"13",75.7600000000033,2077488.37975712,7937354.54503142,0,0,0,1e+07,1e+09,"conj","start",3
"7012",82.7600000000033,15434408.3309537,117591952.80021,0,42773.883862336,479.780654933171,112368875.601746,774576352.527363,"conj","end",3
"112",82.7600000000033,0,0,0,4277.3883862336,47.9780654933171,0,1e+09,"tselect","start",3
"22655",109.320000000017,0,0,0,8677234.4331905,1338027.4390394,0,989989063.49422,"tselect","end",3
