"","time","cell_types","density","host","genotype"
"129",0.17,"F1",0,"1","F"
"130",0.17,"A2",0,"2","A"
"131",0.17,"M2",0,"2","M"
"132",0.17,"F2",10605722.9670163,"2","F"
"133",0.17,"C",998716670.738363,"C","C"
"134",0.18,"A1",10529.6372876816,"1","A"
"135",0.18,"M1",10718334.2802027,"1","M"
"136",0.18,"F1",0,"1","F"
"137",0.18,"A2",0,"2","A"
"138",0.18,"M2",0,"2","M"
"139",0.18,"F2",10642474.9785976,"2","F"
"140",0.18,"C",998638660.646424,"C","C"
"141",0.19,"A1",10559.8704916388,"1","A"
"142",0.19,"M1",10759721.3490208,"1","M"
"143",0.19,"F1",0,"1","F"
"144",0.19,"A2",0,"2","A"
"145",0.19,"M2",0,"2","M"
"146",0.19,"F2",10679354.318273,"2","F"
"147",0.19,"C",998560363.97679,"C","C"
"148",0.2,"A1",10590.1904790635,"1","A"
"149",0.2,"M1",10801268.1948381,"1","M"
"150",0.2,"F1",0,"1","F"
"151",0.2,"A2",0,"2","A"
"152",0.2,"M2",0,"2","M"
"153",0.2,"F2",10716361.4269639,"2","F"
"154",0.2,"C",998481779.674077,"C","C"
"155",0.21,"A1",10620.5974989069,"1","A"
"156",0.21,"M1",10842975.4342334,"1","M"
"157",0.21,"F1",0,"1","F"
"158",0.21,"A2",0,"2","A"
"159",0.21,"M2",0,"2","M"
"160",0.21,"F2",10753496.747117,"2","F"
"161",0.21,"C",998402906.67901,"C","C"
"162",0.22,"A1",10651.0918008329,"1","A"
"163",0.22,"M1",10884843.6861629,"1","M"
"164",0.22,"F1",0,"1","F"
"165",0.22,"A2",0,"2","A"
"166",0.22,"M2",0,"2","M"
"167",0.22,"F2",10790760.7227097,"2","F"
"168",0.22,"C",998323743.928403,"C","C"
"169",0.23,"A1",10681.6736352208,"1","A"
"170",0.23,"M1",10926873.5719695,"1","M"
"171",0.23,"F1",0,"1","F"
"172",0.23,"A2",0,"2","A"
"173",0.23,"M2",0,"2","M"
"174",0.23,"F2",10828153.7992551,"2","F"
"175",0.23,"C",998244290.355146,"C","C"
"176",0.24,"A1",10712.343253167,"1","A"
"177",0.24,"M1",10969065.7153915,"1","M"
"178",0.24,"F1",0,"1","F"
"179",0.24,"A2",0,"2","A"
"180",0.24,"M2",0,"2","M"
"181",0.24,"F2",10865676.4238075,"2","F"
"182",0.24,"C",998164544.888195,"C","C"
"183",0.25,"A1",10743.100906487,"1","A"
"184",0.25,"M1",11011420.7425727,"1","M"
"185",0.25,"F1",0,"1","F"
"186",0.25,"A2",0,"2","A"
"187",0.25,"M2",0,"2","M"
"188",0.25,"F2",10903329.0449677,"2","F"
"189",0.25,"C",998084506.45255,"C","C"
"190",0.26,"A1",10773.9468477175,"1","A"
"191",0.26,"M1",11053939.2820708,"1","M"
"192",0.26,"F1",0,"1","F"
"193",0.26,"A2",0,"2","A"
"194",0.26,"M2",0,"2","M"
"195",0.26,"F2",10941112.1128882,"2","F"
"196",0.26,"C",998004173.969246,"C","C"
"197",0.27,"A1",10804.8813301188,"1","A"
"198",0.27,"M1",11096621.9648673,"1","M"
"199",0.27,"F1",0,"1","F"
