"","time","cell_types","density","host","genotype"
"26228",37.4400000000012,"F2",0,"2","F"
"26229",37.4400000000012,"C",992353278.928734,"C","C"
"26230",37.4500000000012,"A1",127418.861505996,"1","A"
"26231",37.4500000000012,"M1",7548782.4578456,"1","M"
"26232",37.4500000000012,"F1",0,"1","F"
"26233",37.4500000000012,"A2",0,"2","A"
"26234",37.4500000000012,"M2",0,"2","M"
"26235",37.4500000000012,"F2",0,"2","F"
"26236",37.4500000000012,"C",992323879.712178,"C","C"
"26237",37.4600000000012,"A1",127784.689624548,"1","A"
"26238",37.4600000000012,"M1",7577928.98948516,"1","M"
"26239",37.4600000000012,"F1",0,"1","F"
"26240",37.4600000000012,"A2",0,"2","A"
"26241",37.4600000000012,"M2",0,"2","M"
"26242",37.4600000000012,"F2",0,"2","F"
"26243",37.4600000000012,"C",992294367.35242,"C","C"
"26244",37.4700000000012,"A1",128151.567951363,"1","A"
"26245",37.4700000000012,"M1",7607188.04983693,"1","M"
"26246",37.4700000000012,"F1",0,"1","F"
"26247",37.4700000000012,"A2",0,"2","A"
"26248",37.4700000000012,"M2",0,"2","M"
"26249",37.4700000000012,"F2",0,"2","F"
"26250",37.4700000000012,"C",992264741.413741,"C","C"
"26251",37.4800000000012,"A1",128519.499500607,"1","A"
"26252",37.4800000000012,"M1",7636560.07328333,"1","M"
"26253",37.4800000000012,"F1",0,"1","F"
"26254",37.4800000000012,"A2",0,"2","A"
"26255",37.4800000000012,"M2",0,"2","M"
"26256",37.4800000000012,"F2",0,"2","F"
"26257",37.4800000000012,"C",992235001.458745,"C","C"
"26258",37.4900000000012,"A1",128888.487295094,"1","A"
"26259",37.4900000000012,"M1",7666045.49588307,"1","M"
"26260",37.4900000000012,"F1",0,"1","F"
"26261",37.4900000000012,"A2",0,"2","A"
"26262",37.4900000000012,"M2",0,"2","M"
"26263",37.4900000000012,"F2",0,"2","F"
"26264",37.4900000000012,"C",992205147.048351,"C","C"
"26265",37.5000000000012,"A1",129258.534366307,"1","A"
"26266",37.5000000000012,"M1",7695644.7553776,"1","M"
"26267",37.5000000000012,"F1",0,"1","F"
"26268",37.5000000000012,"A2",0,"2","A"
"26269",37.5000000000012,"M2",0,"2","M"
"26270",37.5000000000012,"F2",0,"2","F"
"26271",37.5000000000012,"C",992175177.741785,"C","C"
"26272",37.5100000000012,"A1",129629.643754423,"1","A"
"26273",37.5100000000012,"M1",7725358.29119756,"1","M"
"26274",37.5100000000012,"F1",0,"1","F"
"26275",37.5100000000012,"A2",0,"2","A"
"26276",37.5100000000012,"M2",0,"2","M"
"26277",37.5100000000012,"F2",0,"2","F"
"26278",37.5100000000012,"C",992145093.096577,"C","C"
"26279",37.5200000000012,"A1",130001.818508343,"1","A"
"26280",37.5200000000012,"M1",7755186.54446938,"1","M"
"26281",37.5200000000012,"F1",0,"1","F"
"26282",37.5200000000012,"A2",0,"2","A"
"26283",37.5200000000012,"M2",0,"2","M"
"26284",37.5200000000012,"F2",0,"2","F"
"26285",37.5200000000012,"C",992114892.668552,"C","C"
"26286",37.5300000000012,"A1",130375.061685711,"1","A"
"26287",37.5300000000012,"M1",7785129.95802172,"1","M"
"26288",37.5300000000012,"F1",0,"1","F"
"26289",37.5300000000012,"A2",0,"2","A"
"26290",37.5300000000012,"M2",0,"2","M"
"26291",37.5300000000012,"F2",0,"2","F"
"26292",37.5300000000012,"C",992084576.011822,"C","C"
"26293",37.5400000000012,"A1",130749.37635294,"1","A"
"26294",37.5400000000012,"M1",7815188.97639213,"1","M"
"26295",37.5400000000012,"F1",0,"1","F"
"26296",37.5400000000012,"A2",0,"2","A"
"26297",37.5400000000012,"M2",0,"2","M"
"26298",37.5400000000012,"F2",0,"2","F"
"26299",37.5400000000012,"C",992054142.678784,"C","C"
"26300",37.5500000000012,"A1",131124.765585241,"1","A"
"26301",37.5500000000012,"M1",7845364.04583355,"1","M"
"26302",37.5500000000012,"F1",0,"1","F"
"26303",37.5500000000012,"A2",0,"2","A"
"26304",37.5500000000012,"M2",0,"2","M"
"26305",37.5500000000012,"F2",0,"2","F"
"26306",37.5500000000012,"C",992023592.220111,"C","C"
"26307",37.5600000000012,"A1",131501.232466645,"1","A"
"26308",37.5600000000012,"M1",7875655.614321,"1","M"
"26309",37.5600000000012,"F1",0,"1","F"
"26310",37.5600000000012,"A2",0,"2","A"
"26311",37.5600000000012,"M2",0,"2","M"
"26312",37.5600000000012,"F2",0,"2","F"
"26313",37.5600000000012,"C",991992924.184742,"C","C"
"26314",37.5700000000012,"A1",131878.780090028,"1","A"
"26315",37.5700000000012,"M1",7906064.13155819,"1","M"
"26316",37.5700000000012,"F1",0,"1","F"
"26317",37.5700000000012,"A2",0,"2","A"
"26318",37.5700000000012,"M2",0,"2","M"
"26319",37.5700000000012,"F2",0,"2","F"
"26320",37.5700000000012,"C",991962138.119881,"C","C"
"26321",37.5800000000012,"A1",132257.411557138,"1","A"
"26322",37.5800000000012,"M1",7936590.04898417,"1","M"
"26323",37.5800000000012,"F1",0,"1","F"
"26324",37.5800000000012,"A2",0,"2","A"
"26325",37.5800000000012,"M2",0,"2","M"
"26326",37.5800000000012,"F2",0,"2","F"
"26327",37.5800000000012,"C",991931233.570988,"C","C"
"26328",37.5900000000012,"A1",132637.129978619,"1","A"
"26329",37.5900000000012,"M1",7967233.81978004,"1","M"
"26330",37.5900000000012,"F1",0,"1","F"
"26331",37.5900000000012,"A2",0,"2","A"
"26332",37.5900000000012,"M2",0,"2","M"
"26333",37.5900000000012,"F2",0,"2","F"
"26334",37.5900000000012,"C",991900210.081771,"C","C"
"26335",37.6000000000012,"A1",133017.938474039,"1","A"
"26336",37.6000000000012,"M1",7997995.89887568,"1","M"
"26337",37.6000000000012,"F1",0,"1","F"
"26338",37.6000000000012,"A2",0,"2","A"
"26339",37.6000000000012,"M2",0,"2","M"
"26340",37.6000000000012,"F2",0,"2","F"
"26341",37.6000000000012,"C",991869067.19418,"C","C"
"26342",37.6100000000012,"A1",133399.840171912,"1","A"
"26343",37.6100000000012,"M1",8028876.74295647,"1","M"
"26344",37.6100000000012,"F1",0,"1","F"
"26345",37.6100000000012,"A2",0,"2","A"
"26346",37.6100000000012,"M2",0,"2","M"
"26347",37.6100000000012,"F2",0,"2","F"
"26348",37.6100000000012,"C",991837804.448401,"C","C"
"26349",37.6200000000012,"A1",133782.838209725,"1","A"
"26350",37.6200000000012,"M1",8059876.81047008,"1","M"
"26351",37.6200000000012,"F1",0,"1","F"
"26352",37.6200000000012,"A2",0,"2","A"
"26353",37.6200000000012,"M2",0,"2","M"
"26354",37.6200000000012,"F2",0,"2","F"
"26355",37.6200000000012,"C",991806421.38285,"C","C"
"26356",37.6300000000012,"A1",134166.935733965,"1","A"
"26357",37.6300000000012,"M1",8090996.56163324,"1","M"
"26358",37.6300000000012,"F1",0,"1","F"
"26359",37.6300000000012,"A2",0,"2","A"
"26360",37.6300000000012,"M2",0,"2","M"
"26361",37.6300000000012,"F2",0,"2","F"
"26362",37.6300000000012,"C",991774917.534162,"C","C"
"26363",37.6400000000012,"A1",134552.135900143,"1","A"
"26364",37.6400000000012,"M1",8122236.45843859,"1","M"
"26365",37.6400000000012,"F1",0,"1","F"
"26366",37.6400000000012,"A2",0,"2","A"
"26367",37.6400000000012,"M2",0,"2","M"
"26368",37.6400000000012,"F2",0,"2","F"
"26369",37.6400000000012,"C",991743292.437191,"C","C"
"26370",37.6500000000012,"A1",134938.441872823,"1","A"
"26371",37.6500000000012,"M1",8153596.96466152,"1","M"
"26372",37.6500000000012,"F1",0,"1","F"
"26373",37.6500000000012,"A2",0,"2","A"
"26374",37.6500000000012,"M2",0,"2","M"
"26375",37.6500000000012,"F2",0,"2","F"
"26376",37.6500000000012,"C",991711545.624995,"C","C"
"26377",37.6600000000012,"A1",135325.856825642,"1","A"
"26378",37.6600000000012,"M1",8185078.54586702,"1","M"
"26379",37.6600000000012,"F1",0,"1","F"
"26380",37.6600000000012,"A2",0,"2","A"
"26381",37.6600000000012,"M2",0,"2","M"
"26382",37.6600000000012,"F2",0,"2","F"
"26383",37.6600000000012,"C",991679676.628837,"C","C"
"26384",37.6700000000012,"A1",135714.383941341,"1","A"
"26385",37.6700000000012,"M1",8216681.66941663,"1","M"
"26386",37.6700000000012,"F1",0,"1","F"
"26387",37.6700000000012,"A2",0,"2","A"
"26388",37.6700000000012,"M2",0,"2","M"
"26389",37.6700000000012,"F2",0,"2","F"
"26390",37.6700000000012,"C",991647684.978171,"C","C"
"26391",37.6800000000012,"A1",136104.026411791,"1","A"
"26392",37.6800000000012,"M1",8248406.8044753,"1","M"
"26393",37.6800000000012,"F1",0,"1","F"
"26394",37.6800000000012,"A2",0,"2","A"
"26395",37.6800000000012,"M2",0,"2","M"
"26396",37.6800000000012,"F2",0,"2","F"
"26397",37.6800000000012,"C",991615570.200642,"C","C"
"26398",37.6900000000012,"A1",136494.787438017,"1","A"
"26399",37.6900000000012,"M1",8280254.42201843,"1","M"
"26400",37.6900000000012,"F1",0,"1","F"
"26401",37.6900000000012,"A2",0,"2","A"
"26402",37.6900000000012,"M2",0,"2","M"
"26403",37.6900000000012,"F2",0,"2","F"
"26404",37.6900000000012,"C",991583331.822073,"C","C"
"26405",37.7000000000012,"A1",136886.670230223,"1","A"
"26406",37.7000000000012,"M1",8312224.99483878,"1","M"
"26407",37.7000000000012,"F1",0,"1","F"
"26408",37.7000000000012,"A2",0,"2","A"
"26409",37.7000000000012,"M2",0,"2","M"
"26410",37.7000000000012,"F2",0,"2","F"
"26411",37.7000000000012,"C",991550969.36646,"C","C"
"26412",37.7100000000012,"A1",137279.678007824,"1","A"
"26413",37.7100000000012,"M1",8344318.99755349,"1","M"
"26414",37.7100000000012,"F1",0,"1","F"
"26415",37.7100000000012,"A2",0,"2","A"
"26416",37.7100000000012,"M2",0,"2","M"
"26417",37.7100000000012,"F2",0,"2","F"
"26418",37.7100000000012,"C",991518482.355968,"C","C"
"26419",37.7200000000012,"A1",137673.813999465,"1","A"
"26420",37.7200000000012,"M1",8376536.90661115,"1","M"
"26421",37.7200000000012,"F1",0,"1","F"
"26422",37.7200000000012,"A2",0,"2","A"
"26423",37.7200000000012,"M2",0,"2","M"
"26424",37.7200000000012,"F2",0,"2","F"
"26425",37.7200000000012,"C",991485870.310919,"C","C"
"26426",37.7300000000012,"A1",138069.081443053,"1","A"
"26427",37.7300000000012,"M1",8408879.20029883,"1","M"
"26428",37.7300000000012,"F1",0,"1","F"
"26429",37.7300000000012,"A2",0,"2","A"
"26430",37.7300000000012,"M2",0,"2","M"
"26431",37.7300000000012,"F2",0,"2","F"
"26432",37.7300000000012,"C",991453132.749787,"C","C"
"26433",37.7400000000012,"A1",138465.483585782,"1","A"
"26434",37.7400000000012,"M1",8441346.35874919,"1","M"
"26435",37.7400000000012,"F1",0,"1","F"
"26436",37.7400000000012,"A2",0,"2","A"
"26437",37.7400000000012,"M2",0,"2","M"
"26438",37.7400000000012,"F2",0,"2","F"
"26439",37.7400000000012,"C",991420269.189194,"C","C"
"26440",37.7500000000012,"A1",138863.023684157,"1","A"
"26441",37.7500000000012,"M1",8473938.86394756,"1","M"
"26442",37.7500000000012,"F1",0,"1","F"
"26443",37.7500000000012,"A2",0,"2","A"
"26444",37.7500000000012,"M2",0,"2","M"
"26445",37.7500000000012,"F2",0,"2","F"
"26446",37.7500000000012,"C",991387279.143898,"C","C"
"26447",37.7600000000012,"A1",139261.705004027,"1","A"
"26448",37.7600000000012,"M1",8506657.19973913,"1","M"
"26449",37.7600000000012,"F1",0,"1","F"
"26450",37.7600000000012,"A2",0,"2","A"
"26451",37.7600000000012,"M2",0,"2","M"
"26452",37.7600000000012,"F2",0,"2","F"
"26453",37.7600000000012,"C",991354162.126786,"C","C"
"26454",37.7700000000012,"A1",139661.530820602,"1","A"
"26455",37.7700000000012,"M1",8539501.8518361,"1","M"
"26456",37.7700000000012,"F1",0,"1","F"
"26457",37.7700000000012,"A2",0,"2","A"
"26458",37.7700000000012,"M2",0,"2","M"
"26459",37.7700000000012,"F2",0,"2","F"
"26460",37.7700000000012,"C",991320917.648873,"C","C"
"26461",37.7800000000012,"A1",140062.504418491,"1","A"
"26462",37.7800000000012,"M1",8572473.30782487,"1","M"
"26463",37.7800000000012,"F1",0,"1","F"
"26464",37.7800000000012,"A2",0,"2","A"
"26465",37.7800000000012,"M2",0,"2","M"
"26466",37.7800000000012,"F2",0,"2","F"
"26467",37.7800000000012,"C",991287545.219286,"C","C"
"26468",37.7900000000012,"A1",140464.629091718,"1","A"
"26469",37.7900000000012,"M1",8605572.05717329,"1","M"
"26470",37.7900000000012,"F1",0,"1","F"
"26471",37.7900000000012,"A2",0,"2","A"
"26472",37.7900000000012,"M2",0,"2","M"
"26473",37.7900000000012,"F2",0,"2","F"
"26474",37.7900000000012,"C",991254044.345264,"C","C"
"26475",37.8000000000012,"A1",140867.90814376,"1","A"
"26476",37.8000000000012,"M1",8638798.59123788,"1","M"
"26477",37.8000000000012,"F1",0,"1","F"
"26478",37.8000000000012,"A2",0,"2","A"
"26479",37.8000000000012,"M2",0,"2","M"
"26480",37.8000000000012,"F2",0,"2","F"
"26481",37.8000000000012,"C",991220414.532148,"C","C"
"26482",37.8100000000012,"A1",141272.344887564,"1","A"
"26483",37.8100000000012,"M1",8672153.40327115,"1","M"
"26484",37.8100000000012,"F1",0,"1","F"
"26485",37.8100000000012,"A2",0,"2","A"
"26486",37.8100000000012,"M2",0,"2","M"
"26487",37.8100000000012,"F2",0,"2","F"
"26488",37.8100000000012,"C",991186655.283371,"C","C"
"26489",37.8200000000012,"A1",141677.942645579,"1","A"
"26490",37.8200000000012,"M1",8705636.98842889,"1","M"
"26491",37.8200000000012,"F1",0,"1","F"
"26492",37.8200000000012,"A2",0,"2","A"
"26493",37.8200000000012,"M2",0,"2","M"
"26494",37.8200000000012,"F2",0,"2","F"
"26495",37.8200000000012,"C",991152766.100455,"C","C"
"26496",37.8300000000011,"A1",142084.704749785,"1","A"
"26497",37.8300000000011,"M1",8739249.84377751,"1","M"
"26498",37.8300000000011,"F1",0,"1","F"
"26499",37.8300000000011,"A2",0,"2","A"
"26500",37.8300000000011,"M2",0,"2","M"
"26501",37.8300000000011,"F2",0,"2","F"
"26502",37.8300000000011,"C",991118746.483002,"C","C"
"26503",37.8400000000011,"A1",142492.634541717,"1","A"
"26504",37.8400000000011,"M1",8772992.46830142,"1","M"
"26505",37.8400000000011,"F1",0,"1","F"
"26506",37.8400000000011,"A2",0,"2","A"
"26507",37.8400000000011,"M2",0,"2","M"
"26508",37.8400000000011,"F2",0,"2","F"
"26509",37.8400000000011,"C",991084595.928686,"C","C"
"26510",37.8500000000011,"A1",142901.735372491,"1","A"
"26511",37.8500000000011,"M1",8806865.3629104,"1","M"
"26512",37.8500000000011,"F1",0,"1","F"
"26513",37.8500000000011,"A2",0,"2","A"
"26514",37.8500000000011,"M2",0,"2","M"
"26515",37.8500000000011,"F2",0,"2","F"
"26516",37.8500000000011,"C",991050313.933246,"C","C"
"26517",37.8600000000011,"A1",143312.010602837,"1","A"
"26518",37.8600000000011,"M1",8840869.03044705,"1","M"
"26519",37.8600000000011,"F1",0,"1","F"
"26520",37.8600000000011,"A2",0,"2","A"
"26521",37.8600000000011,"M2",0,"2","M"
"26522",37.8600000000011,"F2",0,"2","F"
"26523",37.8600000000011,"C",991015899.990479,"C","C"
"26524",37.8700000000011,"A1",143723.463603123,"1","A"
"26525",37.8700000000011,"M1",8875003.97569423,"1","M"
"26526",37.8700000000011,"F1",0,"1","F"
"26527",37.8700000000011,"A2",0,"2","A"
"26528",37.8700000000011,"M2",0,"2","M"
"26529",37.8700000000011,"F2",0,"2","F"
"26530",37.8700000000011,"C",990981353.592232,"C","C"
"26531",37.8800000000011,"A1",144136.09775338,"1","A"
"26532",37.8800000000011,"M1",8909270.70538253,"1","M"
"26533",37.8800000000011,"F1",0,"1","F"
"26534",37.8800000000011,"A2",0,"2","A"
"26535",37.8800000000011,"M2",0,"2","M"
"26536",37.8800000000011,"F2",0,"2","F"
"26537",37.8800000000011,"C",990946674.228393,"C","C"
"26538",37.8900000000011,"A1",144549.916443335,"1","A"
"26539",37.8900000000011,"M1",8943669.72819781,"1","M"
"26540",37.8900000000011,"F1",0,"1","F"
"26541",37.8900000000011,"A2",0,"2","A"
"26542",37.8900000000011,"M2",0,"2","M"
"26543",37.8900000000011,"F2",0,"2","F"
"26544",37.8900000000011,"C",990911861.386888,"C","C"
"26545",37.9000000000011,"A1",144964.923072436,"1","A"
"26546",37.9000000000011,"M1",8978201.55478871,"1","M"
"26547",37.9000000000011,"F1",0,"1","F"
"26548",37.9000000000011,"A2",0,"2","A"
"26549",37.9000000000011,"M2",0,"2","M"
"26550",37.9000000000011,"F2",0,"2","F"
"26551",37.9000000000011,"C",990876914.553668,"C","C"
"26552",37.9100000000011,"A1",145381.121049881,"1","A"
"26553",37.9100000000011,"M1",9012866.69777423,"1","M"
"26554",37.9100000000011,"F1",0,"1","F"
"26555",37.9100000000011,"A2",0,"2","A"
"26556",37.9100000000011,"M2",0,"2","M"
"26557",37.9100000000011,"F2",0,"2","F"
"26558",37.9100000000011,"C",990841833.212705,"C","C"
"26559",37.9200000000011,"A1",145798.513794643,"1","A"
"26560",37.9200000000011,"M1",9047665.67175133,"1","M"
"26561",37.9200000000011,"F1",0,"1","F"
"26562",37.9200000000011,"A2",0,"2","A"
"26563",37.9200000000011,"M2",0,"2","M"
"26564",37.9200000000011,"F2",0,"2","F"
"26565",37.9200000000011,"C",990806616.845983,"C","C"
"26566",37.9300000000011,"A1",146217.104735501,"1","A"
"26567",37.9300000000011,"M1",9082598.99330254,"1","M"
"26568",37.9300000000011,"F1",0,"1","F"
"26569",37.9300000000011,"A2",0,"2","A"
"26570",37.9300000000011,"M2",0,"2","M"
"26571",37.9300000000011,"F2",0,"2","F"
"26572",37.9300000000011,"C",990771264.933491,"C","C"
"26573",37.9400000000011,"A1",146636.897311068,"1","A"
"26574",37.9400000000011,"M1",9117667.18100364,"1","M"
"26575",37.9400000000011,"F1",0,"1","F"
"26576",37.9400000000011,"A2",0,"2","A"
"26577",37.9400000000011,"M2",0,"2","M"
"26578",37.9400000000011,"F2",0,"2","F"
"26579",37.9400000000011,"C",990735776.953214,"C","C"
"26580",37.9500000000011,"A1",147057.894969817,"1","A"
"26581",37.9500000000011,"M1",9152870.75543133,"1","M"
"26582",37.9500000000011,"F1",0,"1","F"
"26583",37.9500000000011,"A2",0,"2","A"
"26584",37.9500000000011,"M2",0,"2","M"
"26585",37.9500000000011,"F2",0,"2","F"
"26586",37.9500000000011,"C",990700152.381128,"C","C"
"26587",37.9600000000011,"A1",147480.101170111,"1","A"
"26588",37.9600000000011,"M1",9188210.23917095,"1","M"
"26589",37.9600000000011,"F1",0,"1","F"
"26590",37.9600000000011,"A2",0,"2","A"
"26591",37.9600000000011,"M2",0,"2","M"
"26592",37.9600000000011,"F2",0,"2","F"
"26593",37.9600000000011,"C",990664390.691188,"C","C"
"26594",37.9700000000011,"A1",147903.519380231,"1","A"
"26595",37.9700000000011,"M1",9223686.1568242,"1","M"
"26596",37.9700000000011,"F1",0,"1","F"
"26597",37.9700000000011,"A2",0,"2","A"
"26598",37.9700000000011,"M2",0,"2","M"
"26599",37.9700000000011,"F2",0,"2","F"
"26600",37.9700000000011,"C",990628491.355325,"C","C"
"26601",37.9800000000011,"A1",148328.153078405,"1","A"
"26602",37.9800000000011,"M1",9259299.03501696,"1","M"
"26603",37.9800000000011,"F1",0,"1","F"
"26604",37.9800000000011,"A2",0,"2","A"
"26605",37.9800000000011,"M2",0,"2","M"
"26606",37.9800000000011,"F2",0,"2","F"
"26607",37.9800000000011,"C",990592453.843434,"C","C"
"26608",37.9900000000011,"A1",148754.005752834,"1","A"
"26609",37.9900000000011,"M1",9295049.40240706,"1","M"
"26610",37.9900000000011,"F1",0,"1","F"
"26611",37.9900000000011,"A2",0,"2","A"
"26612",37.9900000000011,"M2",0,"2","M"
"26613",37.9900000000011,"F2",0,"2","F"
"26614",37.9900000000011,"C",990556277.623369,"C","C"
"26615",38.0000000000011,"A1",149181.080901724,"1","A"
"26616",38.0000000000011,"M1",9330937.78969213,"1","M"
"26617",38.0000000000011,"F1",0,"1","F"
"26618",38.0000000000011,"A2",0,"2","A"
"26619",38.0000000000011,"M2",0,"2","M"
"26620",38.0000000000011,"F2",0,"2","F"
"26621",38.0000000000011,"C",990519962.160935,"C","C"
"26622",38.0100000000011,"A1",149609.38203331,"1","A"
"26623",38.0100000000011,"M1",9366964.72961744,"1","M"
"26624",38.0100000000011,"F1",0,"1","F"
"26625",38.0100000000011,"A2",0,"2","A"
"26626",38.0100000000011,"M2",0,"2","M"
"26627",38.0100000000011,"F2",0,"2","F"
"26628",38.0100000000011,"C",990483506.919878,"C","C"
"26629",38.0200000000011,"A1",150038.912665892,"1","A"
"26630",38.0200000000011,"M1",9403130.75698382,"1","M"
"26631",38.0200000000011,"F1",0,"1","F"
"26632",38.0200000000011,"A2",0,"2","A"
"26633",38.0200000000011,"M2",0,"2","M"
"26634",38.0200000000011,"F2",0,"2","F"
"26635",38.0200000000011,"C",990446911.361879,"C","C"
"26636",38.0300000000011,"A1",150469.676327856,"1","A"
"26637",38.0300000000011,"M1",9439436.40865559,"1","M"
"26638",38.0300000000011,"F1",0,"1","F"
"26639",38.0300000000011,"A2",0,"2","A"
"26640",38.0300000000011,"M2",0,"2","M"
"26641",38.0300000000011,"F2",0,"2","F"
"26642",38.0300000000011,"C",990410174.946546,"C","C"
"26643",38.0400000000011,"A1",150901.676557707,"1","A"
"26644",38.0400000000011,"M1",9475882.22356848,"1","M"
"26645",38.0400000000011,"F1",0,"1","F"
"26646",38.0400000000011,"A2",0,"2","A"
"26647",38.0400000000011,"M2",0,"2","M"
"26648",38.0400000000011,"F2",0,"2","F"
"26649",38.0400000000011,"C",990373297.131403,"C","C"
"26650",38.0500000000011,"A1",151334.916904098,"1","A"
"26651",38.0500000000011,"M1",9512468.74273766,"1","M"
"26652",38.0500000000011,"F1",0,"1","F"
"26653",38.0500000000011,"A2",0,"2","A"
"26654",38.0500000000011,"M2",0,"2","M"
"26655",38.0500000000011,"F2",0,"2","F"
"26656",38.0500000000011,"C",990336277.371887,"C","C"
"26657",38.0600000000011,"A1",151769.400925858,"1","A"
"26658",38.0600000000011,"M1",9549196.50926571,"1","M"
"26659",38.0600000000011,"F1",0,"1","F"
"26660",38.0600000000011,"A2",0,"2","A"
"26661",38.0600000000011,"M2",0,"2","M"
"26662",38.0600000000011,"F2",0,"2","F"
"26663",38.0600000000011,"C",990299115.121338,"C","C"
"26664",38.0700000000011,"A1",152205.132192022,"1","A"
"26665",38.0700000000011,"M1",9586066.06835072,"1","M"
"26666",38.0700000000011,"F1",0,"1","F"
"26667",38.0700000000011,"A2",0,"2","A"
"26668",38.0700000000011,"M2",0,"2","M"
"26669",38.0700000000011,"F2",0,"2","F"
"26670",38.0700000000011,"C",990261809.830986,"C","C"
"26671",38.0800000000011,"A1",152642.114281858,"1","A"
"26672",38.0800000000011,"M1",9623077.96729433,"1","M"
"26673",38.0800000000011,"F1",0,"1","F"
"26674",38.0800000000011,"A2",0,"2","A"
"26675",38.0800000000011,"M2",0,"2","M"
"26676",38.0800000000011,"F2",0,"2","F"
"26677",38.0800000000011,"C",990224360.949953,"C","C"
"26678",38.0900000000011,"A1",153080.350784899,"1","A"
"26679",38.0900000000011,"M1",9660232.75550983,"1","M"
"26680",38.0900000000011,"F1",0,"1","F"
"26681",38.0900000000011,"A2",0,"2","A"
"26682",38.0900000000011,"M2",0,"2","M"
"26683",38.0900000000011,"F2",0,"2","F"
"26684",38.0900000000011,"C",990186767.925235,"C","C"
"26685",38.1000000000011,"A1",153519.845300972,"1","A"
"26686",38.1000000000011,"M1",9697530.98453035,"1","M"
"26687",38.1000000000011,"F1",0,"1","F"
"26688",38.1000000000011,"A2",0,"2","A"
"26689",38.1000000000011,"M2",0,"2","M"
"26690",38.1000000000011,"F2",0,"2","F"
"26691",38.1000000000011,"C",990149030.201698,"C","C"
"26692",38.1100000000011,"A1",153960.601440226,"1","A"
"26693",38.1100000000011,"M1",9734973.20801699,"1","M"
"26694",38.1100000000011,"F1",0,"1","F"
"26695",38.1100000000011,"A2",0,"2","A"
"26696",38.1100000000011,"M2",0,"2","M"
"26697",38.1100000000011,"F2",0,"2","F"
"26698",38.1100000000011,"C",990111147.222072,"C","C"
"26699",38.1200000000011,"A1",154402.622823162,"1","A"
"26700",38.1200000000011,"M1",9772559.98176704,"1","M"
"26701",38.1200000000011,"F1",0,"1","F"
"26702",38.1200000000011,"A2",0,"2","A"
"26703",38.1200000000011,"M2",0,"2","M"
"26704",38.1200000000011,"F2",0,"2","F"
"26705",38.1200000000011,"C",990073118.426939,"C","C"
"26706",38.1300000000011,"A1",154845.913080664,"1","A"
"26707",38.1300000000011,"M1",9810291.86372221,"1","M"
"26708",38.1300000000011,"F1",0,"1","F"
"26709",38.1300000000011,"A2",0,"2","A"
"26710",38.1300000000011,"M2",0,"2","M"
"26711",38.1300000000011,"F2",0,"2","F"
"26712",38.1300000000011,"C",990034943.254726,"C","C"
"26713",38.1400000000011,"A1",155290.475854027,"1","A"
"26714",38.1400000000011,"M1",9848169.41397691,"1","M"
"26715",38.1400000000011,"F1",0,"1","F"
"26716",38.1400000000011,"A2",0,"2","A"
"26717",38.1400000000011,"M2",0,"2","M"
"26718",38.1400000000011,"F2",0,"2","F"
"26719",38.1400000000011,"C",989996621.141698,"C","C"
"26720",38.1400000000011,"A1",155290.475854027,"1","A"
"26721",38.1400000000011,"M1",9848169.41397691,"1","M"
"26722",38.1400000000011,"F1",0,"1","F"
"26723",38.1400000000011,"A2",0,"2","A"
"26724",38.1400000000011,"M2",0,"2","M"
"26725",38.1400000000011,"F2",1e+07,"2","F"
"26726",38.1400000000011,"C",1e+09,"C","C"
"26727",38.1500000000011,"A1",155736.359398558,"1","A"
"26728",38.1500000000011,"M1",9886196.99884275,"1","M"
"26729",38.1500000000011,"F1",0,"1","F"
"26730",38.1500000000011,"A2",0,"2","A"
"26731",38.1500000000011,"M2",0,"2","M"
"26732",38.1500000000011,"F2",10034653.3056303,"2","F"
"26733",38.1500000000011,"C",999926873.066243,"C","C"
"26734",38.1600000000011,"A1",156183.522878989,"1","A"
"26735",38.1600000000011,"M1",9924371.3952563,"1","M"
"26736",38.1600000000011,"F1",0,"1","F"
"26737",38.1600000000011,"A2",0,"2","A"
"26738",38.1600000000011,"M2",0,"2","M"
"26739",38.1600000000011,"F2",10069426.6707672,"2","F"
"26740",38.1600000000011,"C",999853477.979997,"C","C"
"26741",38.1700000000011,"A1",156631.969967285,"1","A"
"26742",38.1700000000011,"M1",9962693.16979434,"1","M"
"26743",38.1700000000011,"F1",0,"1","F"
"26744",38.1700000000011,"A2",0,"2","A"
"26745",38.1700000000011,"M2",0,"2","M"
"26746",38.1700000000011,"F2",10104320.5111811,"2","F"
"26747",38.1700000000011,"C",999779813.755231,"C","C"
"26748",38.1800000000011,"A1",157081.704345932,"1","A"
"26749",38.1800000000011,"M1",10001162.8912186,"1","M"
"26750",38.1800000000011,"F1",0,"1","F"
"26751",38.1800000000011,"A2",0,"2","A"
"26752",38.1800000000011,"M2",0,"2","M"
"26753",38.1800000000011,"F2",10139335.2440806,"2","F"
"26754",38.1800000000011,"C",999705879.402281,"C","C"
"26755",38.1900000000011,"A1",157532.729707966,"1","A"
"26756",38.1900000000011,"M1",10039781.1304841,"1","M"
"26757",38.1900000000011,"F1",0,"1","F"
"26758",38.1900000000011,"A2",0,"2","A"
"26759",38.1900000000011,"M2",0,"2","M"
"26760",38.1900000000011,"F2",10174471.2881182,"2","F"
