SetID,SweepID,gamma_M,psi_M,end_time,A1,M1,A2,M2,log_gamma_M,Anc,Mut,Anc_freq,Mut_freq,Mut_freq0,Mut_freq_change,Mut_freq_inv,log_Mut_freq0,log_Mut_freq_change,log_Mut_freq_change2
pDGs_S.pB10,1,1.5600000000000014e-16,0.07599999999999996,48,289639554.99605167,0,536552.0689501895,0,-15.806875401645538,290176107.06500185,0,1,0,1.9999996000000803e-07,-1.9999996000000803e-07,Decrease,-6.698970091194907,-Inf,NA
pDGs_S.pB10,2,2.271903624901943e-16,0.07599999999999996,48,289639554.99605167,0,536552.0689501895,0,-15.643610095523089,290176107.06500185,0,1,0,1.9999996000000803e-07,-1.9999996000000803e-07,Decrease,-6.698970091194907,-Inf,NA
pDGs_S.pB10,3,3.3086833851555043e-16,0.07599999999999996,48,289639554.99605167,0,536552.0689501895,0,-15.48034478940064,290176107.06500185,0,1,0,1.9999996000000803e-07,-1.9999996000000803e-07,Decrease,-6.698970091194907,-Inf,NA
pDGs_S.pB10,4,4.818596010504882e-16,0.07599999999999996,48,289639554.99605167,0,536552.0689501895,0,-15.31707948327819,290176107.06500185,0,1,0,1.9999996000000803e-07,-1.9999996000000803e-07,Decrease,-6.698970091194907,-Inf,NA
pDGs_S.pB10,5,7.0175549635923565e-16,0.07599999999999996,48,289639554.99605167,0,536552.0689501895,0,-15.153814177155741,290176107.06500185,0,1,0,1.9999996000000803e-07,-1.9999996000000803e-07,Decrease,-6.698970091194907,-Inf,NA
pDGs_S.pB10,6,1.0220005487008985e-15,0.07599999999999996,48,289639554.99605167,0,536552.0689501895,0,-14.990548871033294,290176107.06500185,0,1,0,1.9999996000000803e-07,-1.9999996000000803e-07,Decrease,-6.698970091194907,-Inf,NA
pDGs_S.pB10,7,1.4883889431059898e-15,0.07599999999999996,48,289639554.99605167,0,536552.0689501895,0,-14.827283564910845,290176107.06500185,0,1,0,1.9999996000000803e-07,-1.9999996000000803e-07,Decrease,-6.698970091194907,-Inf,NA
pDGs_S.pB10,8,2.1676129712220946e-15,0.07599999999999996,48,289639554.99605167,0,536552.0689501895,0,-14.664018258788396,290176107.06500185,0,1,0,1.9999996000000803e-07,-1.9999996000000803e-07,Decrease,-6.698970091194907,-Inf,NA
pDGs_S.pB10,9,3.1567998504512458e-15,0.07599999999999996,48,289639554.99605167,0,536552.0689501895,0,-14.500752952665946,290176107.06500185,0,1,0,1.9999996000000803e-07,-1.9999996000000803e-07,Decrease,-6.698970091194907,-Inf,NA
pDGs_S.pB10,10,4.597400655980828e-15,0.07599999999999996,48,289639554.99605167,0,536552.0689501895,0,-14.337487646543497,290176107.06500185,0,1,0,1.9999996000000803e-07,-1.9999996000000803e-07,Decrease,-6.698970091194907,-Inf,NA
pDGs_S.pB10,11,6.695417445800901e-15,0.07599999999999996,48,289639554.99605167,0,536552.0689501895,0,-14.174222340421048,290176107.06500185,0,1,0,1.9999996000000803e-07,-1.9999996000000803e-07,Decrease,-6.698970091194907,-Inf,NA
pDGs_S.pB10,12,9.750861003427414e-15,0.07599999999999996,48,289639554.99605167,0,536552.0689501895,0,-14.010957034298599,290176107.06500185,0,1,0,1.9999996000000803e-07,-1.9999996000000803e-07,Decrease,-6.698970091194907,-Inf,NA
pDGs_S.pB10,13,1.4200651576667772e-14,0.07599999999999996,48,289639554.99605167,0,536552.0689501895,0,-13.84769172817615,290176107.06500185,0,1,0,1.9999996000000803e-07,-1.9999996000000803e-07,Decrease,-6.698970091194907,-Inf,NA
pDGs_S.pB10,14,2.0681097303205752e-14,0.07599999999999996,48,289639554.99605167,0,536552.0689501895,0,-13.6844264220537,290176107.06500185,0,1,0,1.9999996000000803e-07,-1.9999996000000803e-07,Decrease,-6.698970091194907,-Inf,NA
pDGs_S.pB10,15,3.0118884570578663e-14,0.07599999999999996,48,289639554.99605167,0,536552.0689501895,0,-13.521161115931253,290176107.06500185,0,1,0,1.9999996000000803e-07,-1.9999996000000803e-07,Decrease,-6.698970091194907,-Inf,NA
pDGs_S.pB10,16,4.3863591688397966e-14,0.07599999999999996,48,289639554.99605167,0,536552.0689501895,0,-13.357895809808804,290176107.06500185,0,1,0,1.9999996000000803e-07,-1.9999996000000803e-07,Decrease,-6.698970091194907,-Inf,NA
pDGs_S.pB10,17,6.38806749731346e-14,0.07599999999999996,48,289639554.99605167,0,536552.0689501895,0,-13.194630503686355,290176107.06500185,0,1,0,1.9999996000000803e-07,-1.9999996000000803e-07,Decrease,-6.698970091194907,-Inf,NA
pDGs_S.pB10,18,9.303252373887645e-14,0.07599999999999996,48,289639554.99605167,0,536552.0689501895,0,-13.031365197563906,290176107.06500185,0,1,0,1.9999996000000803e-07,-1.9999996000000803e-07,Decrease,-6.698970091194907,-Inf,NA
pDGs_S.pB10,19,1.3548777430521106e-13,0.07599999999999996,48,289639554.99605167,0,536552.0689501895,0,-12.868099891441457,290176107.06500185,0,1,0,1.9999996000000803e-07,-1.9999996000000803e-07,Decrease,-6.698970091194907,-Inf,NA
pDGs_S.pB10,20,1.9731741382942637e-13,0.07599999999999996,48,289639554.99605167,0,536552.0689501895,0,-12.704834585319007,290176107.06500185,0,1,0,1.9999996000000803e-07,-1.9999996000000803e-07,Decrease,-6.698970091194907,-Inf,NA
pDGs_S.pB10,21,2.8736291521496804e-13,0.07599999999999996,48,289639554.99605167,0,536552.0689501895,0,-12.541569279196558,290176107.06500185,0,1,0,1.9999996000000803e-07,-1.9999996000000803e-07,Decrease,-6.698970091194907,-Inf,NA
pDGs_S.pB10,22,4.185005440636379e-13,0.07599999999999996,48,289639554.99605167,0,536552.0689501895,0,-12.37830397307411,290176107.06500185,0,1,0,1.9999996000000803e-07,-1.9999996000000803e-07,Decrease,-6.698970091194907,-Inf,NA
pDGs_S.pB10,23,6.094826301805217e-13,0.07599999999999996,48,289639554.99605167,0,536552.0689501895,0,-12.21503866695166,290176107.06500185,0,1,0,1.9999996000000803e-07,-1.9999996000000803e-07,Decrease,-6.698970091194907,-Inf,NA
