Strain,Conjugation_rate_mean,Conjugation_rate_sd,n,Conjugation_rate_se
Anc,2.3013118363235806e-12,1.7517163862137895e-12,3,1.0113539271244098e-12
Mut,1.6259846057129958e-14,1.6106659288264765e-14,3,9.29918407582525e-15
