SetID,SweepID,gamma_fold,psi_change,gamma_M,psi_M,end_time,A1,M1,A2,M2,log_gamma_M,Anc,Mut,Anc_freq,Mut_freq,Mut_freq0,Mut_freq_change,Mut_freq_inv
pHFCi_S.pB10,1,-4,-0.4,1.5600000000000002e-16,-0.11000000000000004,48,0,0,97577119.38084088,0,-15.806875401645538,97577119.38084088,0,1,0,1.999999960000001e-8,-1.999999960000001e-8,Decrease
pHFCi_S.pB10,2,-3.8,-0.4,2.472433380239338e-16,-0.11000000000000004,48,0,0,97577119.38084088,0,-15.606875401645539,97577119.38084088,0,1,0,1.999999960000001e-8,-1.999999960000001e-8,Decrease
pHFCi_S.pB10,3,-3.6,-0.4,3.918542833154944e-16,-0.11000000000000004,48,0,0,97577119.38084088,0,-15.40687540164554,97577119.38084088,0,1,0,1.999999960000001e-8,-1.999999960000001e-8,Decrease
pHFCi_S.pB10,4,-3.4,-0.4,6.210471860634559e-16,-0.11000000000000004,48,0,0,97577119.38084088,0,-15.206875401645538,97577119.38084088,0,1,0,1.999999960000001e-8,-1.999999960000001e-8,Decrease
pHFCi_S.pB10,5,-3.2,-0.4,9.84293457389101e-16,-0.11000000000000004,48,0,0,97577119.380841,0,-15.006875401645539,97577119.380841,0,1,0,1.999999960000001e-8,-1.999999960000001e-8,Decrease
pHFCi_S.pB10,6,-3,-0.4,1.5600000000000001e-15,-0.11000000000000004,48,0,0,97577119.380841,0,-14.806875401645538,97577119.380841,0,1,0,1.999999960000001e-8,-1.999999960000001e-8,Decrease
pHFCi_S.pB10,7,-2.8,-0.4,2.472433380239338e-15,-0.11000000000000004,48,0,0,97577119.380841,0,-14.606875401645539,97577119.380841,0,1,0,1.999999960000001e-8,-1.999999960000001e-8,Decrease
pHFCi_S.pB10,8,-2.5999999999999996,-0.4,3.918542833154948e-15,-0.11000000000000004,48,0,0,97577119.380841,0,-14.406875401645538,97577119.380841,0,1,0,1.999999960000001e-8,-1.999999960000001e-8,Decrease
pHFCi_S.pB10,9,-2.4,-0.4,6.210471860634559e-15,-0.11000000000000004,48,0,0,97577119.380841,0,-14.206875401645538,97577119.380841,0,1,0,1.999999960000001e-8,-1.999999960000001e-8,Decrease
pHFCi_S.pB10,10,-2.2,-0.4,9.842934573891011e-15,-0.11000000000000004,48,0,0,97577119.38084106,0,-14.006875401645539,97577119.38084106,0,1,0,1.999999960000001e-8,-1.999999960000001e-8,Decrease
pHFCi_S.pB10,11,-2,-0.4,1.56e-14,-0.11000000000000004,48,0,0,97577119.38084172,0,-13.806875401645538,97577119.38084172,0,1,0,1.999999960000001e-8,-1.999999960000001e-8,Decrease
pHFCi_S.pB10,12,-1.7999999999999998,-0.4,2.4724333802393382e-14,-0.11000000000000004,48,0,0,97577119.380842,0,-13.606875401645539,97577119.380842,0,1,0,1.999999960000001e-8,-1.999999960000001e-8,Decrease
pHFCi_S.pB10,13,-1.5999999999999996,-0.4,3.918542833154948e-14,-0.11000000000000004,48,0,0,97577119.38084224,0,-13.406875401645538,97577119.38084224,0,1,0,1.999999960000001e-8,-1.999999960000001e-8,Decrease
pHFCi_S.pB10,14,-1.4,-0.4,6.210471860634558e-14,-0.11000000000000004,48,0,0,97577119.38084368,0,-13.206875401645538,97577119.38084368,0,1,0,1.999999960000001e-8,-1.999999960000001e-8,Decrease
pHFCi_S.pB10,15,-1.1999999999999995,-0.4,9.842934573891021e-14,-0.11000000000000004,48,0,0,97577119.38084498,0,-13.006875401645539,97577119.38084498,0,1,0,1.999999960000001e-8,-1.999999960000001e-8,Decrease
pHFCi_S.pB10,16,-1,-0.4,1.5600000000000004e-13,-0.11000000000000004,48,0,0,97577119.38084674,0,-12.806875401645538,97577119.38084674,0,1,0,1.999999960000001e-8,-1.999999960000001e-8,Decrease
pHFCi_S.pB10,17,-0.7999999999999998,-0.4,2.472433380239338e-13,-0.11000000000000004,48,0,0,97577119.38085106,0,-12.606875401645539,97577119.38085106,0,1,0,1.999999960000001e-8,-1.999999960000001e-8,Decrease
pHFCi_S.pB10,18,-0.5999999999999996,-0.4,3.918542833154949e-13,-0.11000000000000004,48,0,0,97577119.3808572,0,-12.406875401645538,97577119.3808572,0,1,0,1.999999960000001e-8,-1.999999960000001e-8,Decrease
pHFCi_S.pB10,19,-0.3999999999999999,-0.4,6.210471860634558e-13,-0.11000000000000004,48,0,0,97577119.380866,0,-12.206875401645538,97577119.380866,0,1,0,1.999999960000001e-8,-1.999999960000001e-8,Decrease
pHFCi_S.pB10,20,-0.19999999999999973,-0.4,9.84293457389102e-13,-0.11000000000000004,48,0,0,97577119.38088109,0,-12.006875401645539,97577119.38088109,0,1,0,1.999999960000001e-8,-1.999999960000001e-8,Decrease
pHFCi_S.pB10,21,0,-0.4,1.56e-12,-0.11000000000000004,48,0,0,97577119.38090414,0,-11.806875401645538,97577119.38090414,0,1,0,1.999999960000001e-8,-1.999999960000001e-8,Decrease
pHFCi_S.pB10,22,0.20000000000000015,-0.4,2.472433380239338e-12,-0.11000000000000004,48,0,0,97577119.38094154,0,-11.606875401645539,97577119.38094154,0,1,0,1.999999960000001e-8,-1.999999960000001e-8,Decrease
pHFCi_S.pB10,23,0.4000000000000003,-0.4,3.918542833154948e-12,-0.11000000000000004,48,0,0,97577119.38099946,0,-11.406875401645538,97577119.38099946,0,1,0,1.999999960000001e-8,-1.999999960000001e-8,Decrease
pHFCi_S.pB10,24,0.6000000000000005,-0.4,6.210471860634565e-12,-0.11000000000000004,48,0,0,97577119.38109282,0,-11.206875401645538,97577119.38109282,0,1,0,1.999999960000001e-8,-1.999999960000001e-8,Decrease
pHFCi_S.pB10,25,0.8000000000000007,-0.4,9.842934573891032e-12,-0.11000000000000004,48,0,0,97577119.38124074,0,-11.006875401645537,97577119.38124074,0,1,0,1.999999960000001e-8,-1.999999960000001e-8,Decrease
pHFCi_S.pB10,26,1,-0.4,1.56e-11,-0.11000000000000004,48,0,0,97577119.3814749,0,-10.806875401645538,97577119.3814749,0,1,0,1.999999960000001e-8,-1.999999960000001e-8,Decrease
pHFCi_S.pB10,27,1.2000000000000002,-0.4,2.4724333802393383e-11,-0.11000000000000004,48,0,0,97577119.3818472,0,-10.606875401645539,97577119.3818472,0,1,0,1.999999960000001e-8,-1.999999960000001e-8,Decrease
pHFCi_S.pB10,28,1.4000000000000004,-0.4,3.918542833154948e-11,-0.11000000000000004,48,0,0,97577119.38244072,0,-10.406875401645538,97577119.38244072,0,1,0,1.999999960000001e-8,-1.999999960000001e-8,Decrease
pHFCi_S.pB10,29,1.6000000000000003,-0.4,6.210471860634565e-11,-0.11000000000000004,48,0,0,97577119.38339026,0,-10.206875401645538,97577119.38339026,0,1,0,1.999999960000001e-8,-1.999999960000001e-8,Decrease
pHFCi_S.pB10,30,1.8000000000000007,-0.4,9.842934573891031e-11,-0.11000000000000004,48,0,0,97577119.38491516,0,-10.006875401645537,97577119.38491516,0,1,0,1.999999960000001e-8,-1.999999960000001e-8,Decrease
pHFCi_S.pB10,31,2,-0.4,1.56e-10,-0.11000000000000004,48,0,0,97577119.38738777,0,-9.806875401645538,97577119.38738777,0,1,0,1.999999960000001e-8,-1.999999960000001e-8,Decrease
pHFCi_S.pB10,32,2.2,-0.4,2.4724333802393377e-10,-0.11000000000000004,48,0,0,97577119.39145336,0,-9.606875401645539,97577119.39145336,0,1,0,1.999999960000001e-8,-1.999999960000001e-8,Decrease
pHFCi_S.pB10,33,2.4000000000000004,-0.4,3.9185428331549477e-10,-0.11000000000000004,48,0,0,97577119.39830688,0,-9.406875401645538,97577119.39830688,0,1,0,1.999999960000001e-8,-1.999999960000001e-8,Decrease
pHFCi_S.pB10,34,2.6000000000000005,-0.4,6.210471860634564e-10,-0.11000000000000004,48,0,0,97577119.41039103,0,-9.206875401645538,97577119.41039103,0,1,0,1.999999960000001e-8,-1.999999960000001e-8,Decrease
pHFCi_S.pB10,35,2.8000000000000007,-0.4,9.84293457389103e-10,-0.11000000000000004,48,0,0,97577119.4336533,0,-9.006875401645537,97577119.4336533,0,1,0,1.999999960000001e-8,-1.999999960000001e-8,Decrease
pHFCi_S.pB10,36,3,-0.4,1.56e-9,-0.11000000000000004,48,0,0,97577119.48760398,0,-8.806875401645538,97577119.48760398,0,1,0,1.999999960000001e-8,-1.999999960000001e-8,Decrease
pHFCi_S.pB10,37,3.2,-0.4,2.472433380239337e-9,-0.11000000000000004,48,0,0,97577119.68174905,0.04490836831521171,-8.606875401645539,97577119.68174905,0.04490836831521171,0.9999999995397654,4.602346168959837e-10,1.999999960000001e-8,-1.9539764983104028e-8,Decrease
pHFCi_S.pB10,38,3.4000000000000004,-0.4,3.918542833154948e-9,-0.11000000000000004,48,0,0,97577121.42513376,0.7220965839484904,-8.406875401645538,97577121.42513376,0.7220965839484904,0.9999999925997348,7.400265226709052e-9,1.999999960000001e-8,-1.2599734373290958e-8,Decrease
pHFCi_S.pB10,39,3.6000000000000005,-0.4,6.2104718606345645e-9,-0.11000000000000004,48,0,0,97577201.60126808,56.740714232447026,-8.206875401645538,97577201.60126808,56.740714232447026,0.9999994185047295,5.814952704818363e-7,1.999999960000001e-8,5.614952708818363e-7,Increase
pHFCi_S.pB10,40,3.8000000000000007,-0.4,9.842934573891031e-9,-0.11000000000000004,48,0,0,97623617.50464712,53624.28191043082,-8.006875401645537,97623617.50464712,53624.28191043082,0.9994510053628703,5.489946371295944e-4,1.999999960000001e-8,5.489746371299944e-4,Increase
pHFCi_S.pB10,41,4,-0.4,1.56e-8,-0.11000000000000004,48,0,0,143362829.97842735,2834270.906876596,-7.806875401645538,143362829.97842735,2834270.906876596,0.9806133576540607,0.019386642345939318,1.999999960000001e-8,0.019386622345939717,Increase
pHFCi_S.pB10,42,-4,-0.38,1.5600000000000002e-16,-0.09000000000000002,48,0,0,97577119.37813832,0,-15.806875401645538,97577119.37813832,0,1,0,1.999999960000001e-8,-1.999999960000001e-8,Decrease
pHFCi_S.pB10,43,-3.8,-0.38,2.472433380239338e-16,-0.09000000000000002,48,0,0,97577119.37813832,0,-15.606875401645539,97577119.37813832,0,1,0,1.999999960000001e-8,-1.999999960000001e-8,Decrease
pHFCi_S.pB10,44,-3.6,-0.38,3.918542833154944e-16,-0.09000000000000002,48,0,0,97577119.37813856,0,-15.40687540164554,97577119.37813856,0,1,0,1.999999960000001e-8,-1.999999960000001e-8,Decrease
pHFCi_S.pB10,45,-3.4,-0.38,6.210471860634559e-16,-0.09000000000000002,48,0,0,97577119.37813854,0,-15.206875401645538,97577119.37813854,0,1,0,1.999999960000001e-8,-1.999999960000001e-8,Decrease
pHFCi_S.pB10,46,-3.2,-0.38,9.84293457389101e-16,-0.09000000000000002,48,0,0,97577119.37813854,0,-15.006875401645539,97577119.37813854,0,1,0,1.999999960000001e-8,-1.999999960000001e-8,Decrease
pHFCi_S.pB10,47,-3,-0.38,1.5600000000000001e-15,-0.09000000000000002,48,0,0,97577119.3781387,0,-14.806875401645538,97577119.3781387,0,1,0,1.999999960000001e-8,-1.999999960000001e-8,Decrease
pHFCi_S.pB10,48,-2.8,-0.38,2.472433380239338e-15,-0.09000000000000002,48,0,0,97577119.37813874,0,-14.606875401645539,97577119.37813874,0,1,0,1.999999960000001e-8,-1.999999960000001e-8,Decrease
pHFCi_S.pB10,49,-2.5999999999999996,-0.38,3.918542833154948e-15,-0.09000000000000002,48,0,0,97577119.37813896,0,-14.406875401645538,97577119.37813896,0,1,0,1.999999960000001e-8,-1.999999960000001e-8,Decrease
pHFCi_S.pB10,50,-2.4,-0.38,6.210471860634559e-15,-0.09000000000000002,48,0,0,97577119.37813918,0,-14.206875401645538,97577119.37813918,0,1,0,1.999999960000001e-8,-1.999999960000001e-8,Decrease
pHFCi_S.pB10,51,-2.2,-0.38,9.842934573891011e-15,-0.09000000000000002,48,0,0,97577119.3781393,0,-14.006875401645539,97577119.3781393,0,1,0,1.999999960000001e-8,-1.999999960000001e-8,Decrease
