SetID,SweepID,gamma_M,psi_M,end_time,A1,M1,A2,M2,log_gamma_M,Anc,Mut,Anc_freq,Mut_freq,Mut_freq0,Mut_freq_change,Mut_freq_inv,log_Mut_freq0,log_Mut_freq_change
pDim90_E.R1_max,1,2.1899999999999964e-16,0.05400000000000005,24,94101117.8708967,13846.658599179533,2465190.9712219792,0.00358074423475534,-15.659555885159882,96566308.84211868,13846.662179923767,0.9998566303594396,1.4336964056045116e-4,0.009900990099009901,-0.00975762045844945,Decrease,-2.0043213737826426,-1.8392214297877283
pDim90_E.R1_max,2,7.358002046961483e-16,0.05400000000000005,24,94101117.8732133,13846.658599203976,2465190.9712747075,0.01203065362926403,-15.133240095686197,96566308.84448801,13846.670629857606,0.9998566302719641,1.4336972803579885e-4,0.009900990099009901,-0.009757620370974102,Decrease,-2.0043213737826426,-1.8392211648079946
pDim90_E.R1_max,3,2.472154982789463e-15,0.05400000000000005,24,94101117.8809948,13846.658599285998,2465190.971451871,0.04042085149727886,-14.606924306212514,96566308.85244668,13846.699020137496,0.9998566299780626,1.4337002193746414e-4,0.009900990099009901,-0.009757620077072437,Decrease,-2.0043213737826426,-1.8392202745242336
pDim90_E.R1_max,4,8.305991517703622e-15,0.05400000000000005,24,94101117.90714064,13846.658599561537,2465190.972047112,0.1358071837739247,-14.08060851673883,96566308.87918775,13846.79440674531,0.999856628990602,1.4337100939806308e-4,0.009900990099009901,-0.009757619089611837,Decrease,-2.0043213737826426,-1.8392172833325846
pDim90_E.R1_max,5,2.7906622186898548e-14,0.05400000000000005,24,94101117.99431165,13846.658600078685,2465190.976378636,0.4562927398415943,-13.554292727265146,96566308.97069028,13847.114892818527,0.9998566256728706,1.4337432712935468e-4,0.009900990099009901,-0.009757615771880546,Decrease,-2.0043213737826426,-1.839207233492473
pDim90_E.R1_max,6,9.376117953195461e-14,0.05400000000000005,24,94101118.28946052,13846.658603189066,2465190.983098366,1.5331203000975284,-13.027976937791461,96566309.2725589,13848.191723489163,0.9998566145253116,1.433854746883235e-4,0.009900990099009901,-0.009757604624321578,Decrease,-2.0043213737826426,-1.8391734677880844
pDim90_E.R1_max,7,3.150205255349983e-13,0.05400000000000005,24,94101119.28137426,13846.65861377494,2465191.0049100406,5.151678582949366,-12.501661148317776,96566310.2862843,13851.81029235789,0.9998565770651895,1.4342293481042808e-4,0.009900990099009901,-0.009757567164199473,Decrease,-2.0043213737826426,-1.839060021153501
pDim90_E.R1_max,8,1.058411722247212e-12,0.05400000000000005,24,94101122.61379877,13846.658648893224,2465191.0807791143,17.316303462002427,-11.975345358844093,96566313.69457789,13863.974952355227,0.9998564511343125,1.4354886568746837e-4,0.009900990099009901,-0.009757441233322433,Decrease,-2.0043213737826426,-1.838678861134185
pDim90_E.R1_max,9,3.5560710588232856e-12,0.05400000000000005,24,94101133.81598336,13846.658766945757,2465191.3358147657,58.26552920305087,-11.44902956937041,96566325.15179811,13904.924296148807,0.9998560272191814,1.4397278081853092e-4,0.009900990099009901,-0.00975701731819137,Decrease,-2.0043213737826426,-1.8373982331337957
pDim90_E.R1_max,10,1.1947752570759026e-11,0.05400000000000005,24,94101171.51941776,13846.659164277562,2465192.194153636,196.73538777165317,-10.922713779896725,96566363.7135714,14043.394552049214,0.9998545937527854,1.4540624721458658e-4,0.009900990099009901,-0.009755583851795315,Decrease,-2.0043213737826426,-1.833095560323375
pDim90_E.R1_max,11,4.014227756723031e-11,0.05400000000000005,24,94101298.94854856,13846.660507006523,2465195.0956359706,672.1476903863586,-10.39639799042304,96566494.04418452,14518.808197392882,0.999849672230922,1.5032776907800686e-4,0.009900990099009901,-0.009750662329931895,Decrease,-2.0043213737826426,-1.8186394138047786
pDim90_E.R1_max,12,1.3487075822345928e-10,0.05400000000000005,24,94101735.82845531,13846.665111412687,2465205.031965628,2390.4963703010676,-9.870082200949357,96566940.86042094,16237.161481713754,0.999831884166433,1.6811583356712048e-4,0.009900990099009901,-0.009732874265442781,Decrease,-2.0043213737826426,-1.7700700079176874
pDim90_E.R1_max,13,4.531412397641383e-10,0.05400000000000005,24,94103312.41850632,13846.68172583979,2465240.829825824,9797.63478791942,-9.343766411475672,96568553.24833214,23644.316513759208,0.9997552150472828,2.447849527171789e-4,0.009900990099009901,-0.009656205146292722,Decrease,-2.0043213737826426,-1.6068939086292469
pDim90_E.R1_max,14,1.5224722236288519e-9,0.05400000000000005,24,94110374.52351362,13846.75614416934,2465399.9465483557,69732.41616522275,-8.817450622001989,96575774.47006197,83579.17230939209,0.9991353224580972,8.646775419027271e-4,0.009900990099009901,-0.009036312557107174,Decrease,-2.0043213737826426,-1.0588244469391794
pDim90_E.R1_max,15,5.115230017307357e-9,0.05400000000000005,24,94246289.95994262,13848.18737872855,2468360.296426011,5793015.055339085,-8.291134832528304,96714650.25636864,5806863.242717814,0.9433595638171147,0.05664043618288524,0.009900990099009901,0.046739446083875334,Increase,-2.0043213737826426,0.7574479629398276
pDim90_E.R1_max,16,1.7186243350696962e-8,0.05400000000000005,24,446652828.44057506,15480.523970886685,6011339.03268349,557330351.9696196,-7.76481904305462,452664167.47325855,557345832.4935905,0.4481779066426234,0.5518220933573765,0.009900990099009901,0.5419211032583666,Increase,-2.0043213737826426,1.746120458166321
pDim90_E.R1_max,17,5.7742654682194696e-8,0.05400000000000005,24,829914045.2229085,16182.86540301036,2932719.016954707,177147052.89473543,-7.2385032535809355,832846764.2398632,177163235.76013842,0.8245925923900376,0.17540740760996243,0.009900990099009901,0.16550641751095252,Increase,-2.0043213737826426,1.2483693038400285
pDim90_E.R1_max,18,1.940048270998079e-7,0.05400000000000005,24,948310911.3123728,16338.168442017395,880580.4541590626,60802170.06502456,-6.7121874641072505,949191491.7665318,60818508.23346658,0.93978425140992,0.06021574859007997,0.009900990099009901,0.05031475849107007,Increase,-2.0043213737826426,0.784031463567048
